Airline,Source,Destination,Duration,Total stops,Price,Date
"Aer Lingus, Binter Canarias",DUB,TFN,7h 00m,1 stop,€175,2023-12-11
"Aer Lingus, Binter Canarias",DUB,TFN,8h 00m,1 stop,€175,2023-12-11
"Aer Lingus, Binter Canarias",DUB,TFN,6h 10m,1 stop,€316,2023-12-11
Multiple Airlines,DUB,TFN,9h 50m,2 stops,€179,2023-12-11
"Aer Lingus, Binter Canarias",DUB,TFN,8h 40m,1 stop,€295,2023-12-11
Multiple Airlines,DUB,TFN,10h 00m,2 stops,€189,2023-12-11
Multiple Airlines,DUB,TFN,9h 50m,2 stops,€205,2023-12-11
Multiple Airlines,DUB,TFN,12h 50m,2 stops,€197,2023-12-11
Multiple Airlines,DUB,TFN,11h 05m,2 stops,€237,2023-12-11
Multiple Airlines,DUB,TFN,11h 05m,2 stops,€241,2023-12-11
Multiple Airlines,DUB,TFN,12h 50m,2 stops,€223,2023-12-11
Multiple Airlines,DUB,TFN,18h 00m,2 stops,€188,2023-12-11
Multiple Airlines,DUB,TFN,12h 50m,3 stops,€268,2023-12-11
Multiple Airlines,DUB,TFN,18h 00m,2 stops,€194,2023-12-11
Multiple Airlines,DUB,TFN,15h 00m,3 stops,€245,2023-12-11
"Aer Lingus, Binter Canarias",DUB,TFN,7h 00m,1 stop,€155,2023-12-12
"Aer Lingus, Binter Canarias",DUB,TFN,8h 00m,1 stop,€139,2023-12-12
"Aer Lingus, Binter Canarias",DUB,TFN,7h 15m,1 stop,€208,2023-12-12
"Aer Lingus, Vueling",DUB,TFN,7h 20m,1 stop,€225,2023-12-12
"Aer Lingus, Binter Canarias",DUB,TFN,9h 00m,1 stop,€155,2023-12-12
Iberia,DUB,TFN,9h 15m,1 stop,€228,2023-12-12
"Aer Lingus, Binter Canarias",DUB,TFN,8h 15m,2 stops,€187,2023-12-12
"Aer Lingus, Vueling",DUB,TFN,12h 05m,1 stop,€153,2023-12-12
British Airways,DUB,TFN,8h 20m,1 stop,€506,2023-12-12
Iberia,DUB,TFN,11h 10m,1 stop,€349,2023-12-12
British Airways,DUB,TFN,11h 10m,1 stop,€370,2023-12-12
Vueling,DUB,TFN,11h 10m,1 stop,€392,2023-12-12
Multiple Airlines,DUB,TFN,9h 15m,2 stops,€210,2023-12-12
Multiple Airlines,DUB,TFN,9h 50m,2 stops,€198,2023-12-12
Multiple Airlines,DUB,TFN,10h 20m,2 stops,€199,2023-12-12
Vueling,DUB,TFN,9h 35m,1 stop,€137,2023-12-13
Vueling,DUB,TFN,24h 00m,1 stop,€93,2023-12-13
"Aer Lingus, Vueling",DUB,TFN,7h 20m,1 stop,€179,2023-12-13
"Aer Lingus, Binter Canarias",DUB,TFN,6h 10m,1 stop,€257,2023-12-13
"Aer Lingus, Iberia",DUB,TFN,9h 25m,2 stops,€158,2023-12-13
"Aer Lingus, Binter Canarias",DUB,TFN,8h 40m,1 stop,€224,2023-12-13
