Airline,Source,Destination,Duration,Total stops,Price,Date
Vueling,IBZ,DUB,18h 40m,1 stop,€82,2023-12-11
"Vueling, Aer Lingus",IBZ,DUB,6h 40m,1 stop,€200,2023-12-11
British Airways,IBZ,DUB,6h 20m,1 stop,€282,2023-12-11
"Iberia, British Airways",IBZ,DUB,6h 20m,1 stop,€307,2023-12-11
British Airways,IBZ,DUB,7h 45m,1 stop,€265,2023-12-11
CitizenPlane,IBZ,DUB,18h 40m,1 stop,€98,2023-12-11
"Vueling, Aer Lingus",IBZ,DUB,7h 55m,2 stops,€209,2023-12-11
British Airways,IBZ,DUB,7h 10m,1 stop,€297,2023-12-11
Iberia,IBZ,DUB,5h 55m,1 stop,€372,2023-12-11
"Iberia, Transavia",IBZ,DUB,9h 10m,2 stops,€193,2023-12-11
"Iberia, British Airways",IBZ,DUB,7h 45m,1 stop,€285,2023-12-11
British Airways,IBZ,DUB,8h 45m,1 stop,€265,2023-12-11
"Iberia Express, Aer Lingus",IBZ,DUB,5h 30m,1 stop,€391,2023-12-11
"Vueling, Aer Lingus",IBZ,DUB,18h 00m,1 stop,€123,2023-12-11
British Airways,IBZ,DUB,8h 25m,1 stop,€282,2023-12-11
Vueling,IBZ,DUB,7h 20m,1 stop,€68,2023-12-12
Vueling,IBZ,DUB,13h 40m,1 stop,€57,2023-12-12
"Vueling, Aer Lingus",IBZ,DUB,6h 40m,1 stop,€109,2023-12-12
"Iberia, Aer Lingus",IBZ,DUB,5h 30m,1 stop,€166,2023-12-12
"Vueling, Aer Lingus",IBZ,DUB,5h 30m,1 stop,€175,2023-12-12
Vueling,IBZ,DUB,15h 55m,1 stop,€57,2023-12-12
British Airways,IBZ,DUB,6h 20m,1 stop,€238,2023-12-12
Vueling,IBZ,DUB,18h 20m,1 stop,€57,2023-12-12
CitizenPlane,IBZ,DUB,13h 40m,1 stop,€74,2023-12-12
British Airways,IBZ,DUB,7h 45m,1 stop,€211,2023-12-12
British Airways,IBZ,DUB,7h 20m,1 stop,€227,2023-12-12
Vueling,IBZ,DUB,6h 45m,2 stops,€162,2023-12-12
"Iberia, British Airways",IBZ,DUB,6h 20m,1 stop,€274,2023-12-12
"Iberia, British Airways",IBZ,DUB,7h 45m,1 stop,€227,2023-12-12
British Airways,IBZ,DUB,8h 45m,1 stop,€211,2023-12-12
Iberia,IBZ,DUB,5h 50m,1 stop,€65,2023-12-13
Vueling,IBZ,DUB,14h 05m,1 stop,€46,2023-12-13
Iberia Express,IBZ,DUB,5h 50m,1 stop,€71,2023-12-13
"Iberia, Iberia Express",IBZ,DUB,5h 50m,1 stop,€73,2023-12-13
"Iberia Express, Iberia",IBZ,DUB,5h 50m,1 stop,€77,2023-12-13
British Airways,IBZ,DUB,5h 50m,1 stop,€108,2023-12-13
Vueling,IBZ,DUB,5h 50m,1 stop,€141,2023-12-13
"Vueling, Aer Lingus",IBZ,DUB,6h 40m,1 stop,€111,2023-12-13
CitizenPlane,IBZ,DUB,14h 05m,1 stop,€60,2023-12-13
Iberia,IBZ,DUB,13h 40m,1 stop,€69,2023-12-13
British Airways,IBZ,DUB,6h 20m,1 stop,€269,2023-12-13
"Iberia, British Airways",IBZ,DUB,7h 35m,2 stops,€130,2023-12-13
Iberia Express,IBZ,DUB,13h 40m,1 stop,€64,2023-12-13
British Airways,IBZ,DUB,7h 45m,1 stop,€211,2023-12-13
"Iberia, Iberia Express",IBZ,DUB,13h 40m,1 stop,€67,2023-12-13
"Vueling, Aer Lingus",IBZ,DUB,5h 45m,1 stop,€91,2023-12-14
Vueling,IBZ,DUB,24h 05m,1 stop,€58,2023-12-14
British Airways,IBZ,DUB,5h 55m,1 stop,€124,2023-12-14
Iberia,IBZ,DUB,5h 55m,1 stop,€97,2023-12-14
"Iberia, Iberia Express",IBZ,DUB,5h 55m,1 stop,€93,2023-12-14
"Air Europa, Aer Lingus",IBZ,DUB,8h 10m,1 stop,€76,2023-12-14
"Vueling, Iberia Express",IBZ,DUB,5h 55m,1 stop,€98,2023-12-14
"Vueling, Aer Lingus",IBZ,DUB,8h 05m,1 stop,€69,2023-12-14
"Vueling, Iberia",IBZ,DUB,5h 55m,1 stop,€103,2023-12-14
"Vueling, Aer Lingus",IBZ,DUB,9h 05m,1 stop,€69,2023-12-14
"Vueling, Aer Lingus",IBZ,DUB,6h 40m,1 stop,€117,2023-12-14
Vueling,IBZ,DUB,5h 55m,1 stop,€156,2023-12-14
"Vueling, Aer Lingus",IBZ,DUB,9h 45m,1 stop,€102,2023-12-14
Iberia,IBZ,DUB,10h 10m,1 stop,€116,2023-12-14
"Vueling, Aer Lingus",IBZ,DUB,8h 30m,2 stops,€136,2023-12-14
"Iberia, British Airways",IBZ,DUB,7h 40m,2 stops,€167,2023-12-14
Vueling,IBZ,DUB,8h 05m,1 stop,€53,2023-12-15
"Vueling, Aer Lingus",IBZ,DUB,6h 40m,1 stop,€64,2023-12-15
Vueling,IBZ,DUB,4h 50m,1 stop,€118,2023-12-15
"Vueling, Aer Lingus",IBZ,DUB,6h 10m,1 stop,€111,2023-12-15
"Vueling, Transavia France",IBZ,DUB,5h 30m,1 stop,€135,2023-12-15
"Vueling, Aer Lingus",IBZ,DUB,8h 20m,1 stop,€101,2023-12-15
"CitizenPlane, Aer Lingus",IBZ,DUB,6h 10m,1 stop,€152,2023-12-15
"Vueling, Aer Lingus",IBZ,DUB,9h 35m,1 stop,€101,2023-12-15
Iberia,IBZ,DUB,14h 00m,1 stop,€78,2023-12-15
Vueling,IBZ,DUB,6h 35m,2 stops,€169,2023-12-15
Iberia Express,IBZ,DUB,14h 00m,1 stop,€69,2023-12-15
"Iberia, Iberia Express",IBZ,DUB,14h 00m,1 stop,€73,2023-12-15
British Airways,IBZ,DUB,6h 20m,1 stop,€235,2023-12-15
British Airways,IBZ,DUB,7h 45m,1 stop,€224,2023-12-15
"Iberia, Aer Lingus",IBZ,DUB,5h 30m,1 stop,€239,2023-12-15
Iberia,IBZ,DUB,5h 55m,1 stop,€108,2023-12-16
Vueling,IBZ,DUB,23h 40m,1 stop,€46,2023-12-16
Vueling,IBZ,DUB,7h 20m,1 stop,€122,2023-12-16
British Airways,IBZ,DUB,5h 55m,1 stop,€170,2023-12-16
"Vueling, Aer Lingus",IBZ,DUB,6h 40m,1 stop,€142,2023-12-16
"Vueling, TAP AIR PORTUGAL",IBZ,DUB,10h 15m,2 stops,€97,2023-12-16
Iberia,IBZ,DUB,10h 10m,1 stop,€190,2023-12-16
"Transavia, Aer Lingus",IBZ,DUB,5h 50m,1 stop,€227,2023-12-16
"Vueling, Aer Lingus",IBZ,DUB,18h 00m,1 stop,€83,2023-12-16
Vueling,IBZ,DUB,16h 20m,2 stops,€106,2023-12-16
KLM,IBZ,DUB,8h 30m,1 stop,€259,2023-12-16
Iberia,IBZ,DUB,21h 35m,1 stop,€70,2023-12-16
