Airline,Source,Destination,Duration,Total stops,Price,Date,Date scraped
Vueling,DUB,IBZ,22h 50m,1 stop,€92,11/12/2023,09/12/2023
"Transavia France, Vueling",DUB,IBZ,17h 10m,1 stop,€103,11/12/2023,09/12/2023
Multiple Airlines,DUB,IBZ,7h 35m,2 stops,€269,11/12/2023,09/12/2023
Iberia,DUB,IBZ,12h 30m,1 stop,€252,11/12/2023,09/12/2023
British Airways,DUB,IBZ,12h 30m,1 stop,€328,11/12/2023,09/12/2023
"Aer Lingus, Vueling",DUB,IBZ,18h 55m,1 stop,€201,11/12/2023,09/12/2023
"British Airways, Iberia",DUB,IBZ,14h 55m,1 stop,€309,11/12/2023,09/12/2023
"Transavia France, Vueling",DUB,IBZ,17h 00m,2 stops,€189,11/12/2023,09/12/2023
Iberia,DUB,IBZ,16h 45m,1 stop,€293,11/12/2023,09/12/2023
Iberia Express,DUB,IBZ,12h 30m,1 stop,€309,11/12/2023,09/12/2023
Multiple Airlines,DUB,IBZ,11h 45m,2 stops,€269,11/12/2023,09/12/2023
"Transavia France, Vueling",DUB,IBZ,18h 00m,2 stops,€189,11/12/2023,09/12/2023
"Aer Lingus, British Airways",DUB,IBZ,14h 55m,1 stop,€280,11/12/2023,09/12/2023
Multiple Airlines,DUB,IBZ,15h 55m,2 stops,€210,11/12/2023,09/12/2023
"Transavia France, Vueling",DUB,IBZ,13h 25m,2 stops,€247,11/12/2023,09/12/2023
Vueling,DUB,IBZ,7h 15m,1 stop,€112,12/12/2023,09/12/2023
"Aer Lingus, Vueling",DUB,IBZ,5h 40m,1 stop,€181,12/12/2023,09/12/2023
"Aer Lingus, Vueling",DUB,IBZ,6h 40m,1 stop,€181,12/12/2023,09/12/2023
"Aer Lingus, Air Europa",DUB,IBZ,5h 45m,1 stop,€282,12/12/2023,09/12/2023
Iberia,DUB,IBZ,5h 00m,1 stop,€440,12/12/2023,09/12/2023
"Aer Lingus, Vueling",DUB,IBZ,9h 10m,1 stop,€188,12/12/2023,09/12/2023
"Aer Lingus, Transavia",DUB,IBZ,5h 45m,1 stop,€351,12/12/2023,09/12/2023
British Airways,DUB,IBZ,4h 40m,1 stop,€534,12/12/2023,09/12/2023
Iberia,DUB,IBZ,7h 15m,1 stop,€369,12/12/2023,09/12/2023
"Aer Lingus, Vueling",DUB,IBZ,7h 25m,2 stops,€199,12/12/2023,09/12/2023
"Air France, Vueling",DUB,IBZ,7h 05m,1 stop,€311,12/12/2023,09/12/2023
"Vueling, Iberia",DUB,IBZ,6h 35m,2 stops,€224,12/12/2023,09/12/2023
British Airways,DUB,IBZ,5h 00m,1 stop,€546,12/12/2023,09/12/2023
Multiple Airlines,DUB,IBZ,16h 50m,2 stops,€154,12/12/2023,09/12/2023
"Aer Lingus, Vueling",DUB,IBZ,9h 55m,2 stops,€188,12/12/2023,09/12/2023
KLM,DUB,IBZ,19h 50m,2 stops,€314,13/12/2023,09/12/2023
Vueling,DUB,IBZ,6h 35m,1 stop,€81,13/12/2023,09/12/2023
"Aer Lingus, Vueling",DUB,IBZ,5h 40m,1 stop,€153,13/12/2023,09/12/2023
Vueling,DUB,IBZ,9h 00m,1 stop,€87,13/12/2023,09/12/2023
"Aer Lingus, Vueling",DUB,IBZ,6h 40m,1 stop,€147,13/12/2023,09/12/2023
British Airways,DUB,IBZ,4h 35m,1 stop,€403,13/12/2023,09/12/2023
Vueling,DUB,IBZ,12h 10m,1 stop,€92,13/12/2023,09/12/2023
Iberia,DUB,IBZ,6h 35m,1 stop,€314,13/12/2023,09/12/2023
"Aer Lingus, Vueling",DUB,IBZ,9h 05m,1 stop,€153,13/12/2023,09/12/2023
"Vueling, Swiftair",DUB,IBZ,8h 15m,2 stops,€136,13/12/2023,09/12/2023
Iberia,DUB,IBZ,9h 00m,1 stop,€330,13/12/2023,09/12/2023
"Vueling, Air Europa",DUB,IBZ,8h 15m,2 stops,€140,13/12/2023,09/12/2023
"Aer Lingus, Vueling",DUB,IBZ,11h 30m,1 stop,€160,13/12/2023,09/12/2023
Iberia,DUB,IBZ,12h 25m,1 stop,€290,13/12/2023,09/12/2023
"Vueling, Swiftair",DUB,IBZ,10h 45m,2 stops,€128,13/12/2023,09/12/2023
"Vueling, Air Europa",DUB,IBZ,10h 45m,2 stops,€132,13/12/2023,09/12/2023
Vueling,DUB,IBZ,6h 10m,1 stop,€71,14/12/2023,09/12/2023
Vueling,DUB,IBZ,23h 10m,1 stop,€59,14/12/2023,09/12/2023
Vueling,DUB,IBZ,8h 35m,1 stop,€99,14/12/2023,09/12/2023
"Aer Lingus, Vueling",DUB,IBZ,5h 40m,1 stop,€145,14/12/2023,09/12/2023
