Airline,Source,Destination,Duration,Total stops,Price,Date,Date scraped
Iberia Express,MAD,DUB,2h 40m,direct,€142,11/12/2023,11/12/2023
"Iberia, Vueling",MAD,DUB,17h 35m,1 stop,€86,11/12/2023,11/12/2023
Iberia,MAD,DUB,2h 40m,direct,€143,11/12/2023,11/12/2023
Vueling,MAD,DUB,2h 40m,direct,€147,11/12/2023,11/12/2023
Aer Lingus,MAD,DUB,2h 40m,direct,€157,11/12/2023,11/12/2023
Iberia,MAD,DUB,2h 45m,direct,€227,11/12/2023,11/12/2023
British Airways,MAD,DUB,6h 15m,1 stop,€195,11/12/2023,11/12/2023
British Airways,MAD,DUB,5h 50m,1 stop,€210,11/12/2023,11/12/2023
British Airways,MAD,DUB,6h 25m,1 stop,€210,11/12/2023,11/12/2023
Air France,MAD,DUB,5h 25m,1 stop,€306,11/12/2023,11/12/2023
British Airways,MAD,DUB,7h 15m,1 stop,€210,11/12/2023,11/12/2023
British Airways,MAD,DUB,6h 00m,1 stop,€268,11/12/2023,11/12/2023
British Airways,MAD,DUB,5h 00m,1 stop,€368,11/12/2023,11/12/2023
"Air Europa, Aer Lingus",MAD,DUB,6h 45m,1 stop,€208,11/12/2023,11/12/2023
British Airways,MAD,DUB,6h 45m,1 stop,€268,11/12/2023,11/12/2023
British Airways,MAD,DUB,5h 45m,1 stop,€368,11/12/2023,11/12/2023
Aer Lingus,MAD,DUB,2h 30m,direct,€75,12/12/2023,11/12/2023
Iberia Express,MAD,DUB,2h 30m,direct,€48,12/12/2023,11/12/2023
Iberia,MAD,DUB,2h 30m,direct,€50,12/12/2023,11/12/2023
Vueling,MAD,DUB,2h 30m,direct,€53,12/12/2023,11/12/2023
Aer Lingus,MAD,DUB,2h 30m,direct,€75,12/12/2023,11/12/2023
Iberia,MAD,DUB,2h 45m,direct,€103,12/12/2023,11/12/2023
Aer Lingus,MAD,DUB,2h 45m,direct,€124,12/12/2023,11/12/2023
Vueling,MAD,DUB,5h 30m,1 stop,€81,12/12/2023,11/12/2023
