Airline,Source,Destination,Duration,Total stops,Price,Date,Date scraped
"Binter Canarias, Aer Lingus",TFN,DUB,6h 30m,1 stop,€237,11/12/2023,11/12/2023
Iberia,TFN,DUB,14h 20m,1 stop,€160,11/12/2023,11/12/2023
"Iberia, Iberia Express",TFN,DUB,14h 20m,1 stop,€270,11/12/2023,11/12/2023
"Binter Canarias, Vueling",TFN,DUB,16h 00m,2 stops,€254,11/12/2023,11/12/2023
Vueling,TFN,DUB,18h 00m,1 stop,€410,11/12/2023,11/12/2023
"Air Europa, Vueling",TFN,DUB,19h 00m,2 stops,€234,11/12/2023,11/12/2023
"Canaryfly, Vueling",TFN,DUB,19h 00m,2 stops,€234,11/12/2023,11/12/2023
"Binter Canarias, Vueling",TFN,DUB,19h 00m,2 stops,€239,11/12/2023,11/12/2023
"Canaryfly, Vueling",TFN,DUB,19h 00m,3 stops,€249,11/12/2023,11/12/2023
"Binter Canarias, Vueling",TFN,DUB,18h 30m,2 stops,€292,11/12/2023,11/12/2023
Vueling,TFN,DUB,18h 15m,2 stops,€310,11/12/2023,11/12/2023
Vueling,TFN,DUB,18h 15m,2 stops,€296,11/12/2023,11/12/2023
"Binter Canarias, Vueling",TFN,DUB,18h 00m,2 stops,€342,11/12/2023,11/12/2023
"Binter Canarias, Vueling",TFN,DUB,16h 00m,2 stops,€366,11/12/2023,11/12/2023
"Binter Canarias, Vueling",TFN,DUB,17h 00m,2 stops,€342,11/12/2023,11/12/2023
"Binter Canarias, Aer Lingus",TFN,DUB,6h 00m,1 stop,€198,12/12/2023,11/12/2023
Vueling,TFN,DUB,13h 00m,1 stop,€170,12/12/2023,11/12/2023
"Binter Canarias, Aer Lingus",TFN,DUB,6h 30m,1 stop,€207,12/12/2023,11/12/2023
"Binter Canarias, Aer Lingus",TFN,DUB,7h 00m,1 stop,€198,12/12/2023,11/12/2023
"Binter Canarias, Aer Lingus",TFN,DUB,7h 30m,1 stop,€207,12/12/2023,11/12/2023
"Binter Canarias, Aer Lingus",TFN,DUB,8h 00m,1 stop,€198,12/12/2023,11/12/2023
"Binter Canarias, Aer Lingus",TFN,DUB,8h 30m,1 stop,€198,12/12/2023,11/12/2023
"Binter Canarias, Aer Lingus",TFN,DUB,7h 10m,1 stop,€278,12/12/2023,11/12/2023
"Binter Canarias, Aer Lingus",TFN,DUB,9h 00m,1 stop,€198,12/12/2023,11/12/2023
"Binter Canarias, Aer Lingus",TFN,DUB,9h 30m,1 stop,€198,12/12/2023,11/12/2023
"Air Europa, Aer Lingus",TFN,DUB,8h 30m,1 stop,€303,12/12/2023,11/12/2023
"Binter Canarias, Aer Lingus",TFN,DUB,10h 30m,1 stop,€207,12/12/2023,11/12/2023
"Air Europa, Aer Lingus",TFN,DUB,12h 45m,1 stop,€193,12/12/2023,11/12/2023
Multiple Airlines,TFN,DUB,9h 45m,2 stops,€257,12/12/2023,11/12/2023
Multiple Airlines,TFN,DUB,10h 00m,2 stops,€252,12/12/2023,11/12/2023
Vueling,TFN,DUB,13h 25m,1 stop,€103,13/12/2023,11/12/2023
Iberia,TFN,DUB,7h 00m,1 stop,€328,13/12/2023,11/12/2023
British Airways,TFN,DUB,7h 00m,1 stop,€347,13/12/2023,11/12/2023
"Vueling, Aer Lingus",TFN,DUB,11h 05m,1 stop,€150,13/12/2023,11/12/2023
Iberia,TFN,DUB,14h 20m,1 stop,€164,13/12/2023,11/12/2023
Vueling,TFN,DUB,7h 00m,1 stop,€664,13/12/2023,11/12/2023
British Airways,TFN,DUB,14h 20m,1 stop,€174,13/12/2023,11/12/2023
"Binter Canarias, Aer Lingus",TFN,DUB,8h 20m,1 stop,€361,13/12/2023,11/12/2023
Iberia,TFN,DUB,11h 20m,1 stop,€297,13/12/2023,11/12/2023
Multiple Airlines,TFN,DUB,9h 45m,2 stops,€259,13/12/2023,11/12/2023
Multiple Airlines,TFN,DUB,10h 00m,2 stops,€257,13/12/2023,11/12/2023
"Vueling, Aer Lingus",TFN,DUB,11h 50m,2 stops,€184,13/12/2023,11/12/2023
"Binter Canarias, Iberia Express",TFN,DUB,10h 00m,2 stops,€280,13/12/2023,11/12/2023
Multiple Airlines,TFN,DUB,9h 00m,2 stops,€338,13/12/2023,11/12/2023
"Binter Canarias, Iberia Express",TFN,DUB,9h 50m,3 stops,€275,13/12/2023,11/12/2023
British Airways,TFN,DUB,7h 00m,1 stop,€174,14/12/2023,11/12/2023
Vueling,TFN,DUB,18h 45m,1 stop,€111,14/12/2023,11/12/2023
Iberia,TFN,DUB,7h 00m,1 stop,€157,14/12/2023,11/12/2023
"Binter Canarias, Aer Lingus",TFN,DUB,6h 35m,1 stop,€186,14/12/2023,11/12/2023
British Airways,TFN,DUB,8h 15m,1 stop,€174,14/12/2023,11/12/2023
Iberia,TFN,DUB,8h 15m,1 stop,€157,14/12/2023,11/12/2023
Iberia,TFN,DUB,11h 20m,1 stop,€157,14/12/2023,11/12/2023
British Airways,TFN,DUB,11h 20m,1 stop,€174,14/12/2023,11/12/2023
"Binter Canarias, Aer Lingus",TFN,DUB,14h 35m,1 stop,€251,14/12/2023,11/12/2023
"Vueling, Aer Lingus",TFN,DUB,17h 20m,1 stop,€190,14/12/2023,11/12/2023
KLM,TFN,DUB,14h 50m,2 stops,€558,14/12/2023,11/12/2023
KLM,TFN,DUB,14h 50m,2 stops,€558,14/12/2023,11/12/2023
"Iberia, Iberia Express",TFN,DUB,22h 15m,1 stop,€188,14/12/2023,11/12/2023
"Vueling, Transavia France",TFN,DUB,23h 10m,2 stops,€198,14/12/2023,11/12/2023
Air France,TFN,DUB,15h 25m,2 stops,€854,14/12/2023,11/12/2023
Iberia,TFN,DUB,7h 00m,1 stop,€263,15/12/2023,11/12/2023
Vueling,TFN,DUB,18h 15m,2 stops,€138,15/12/2023,11/12/2023
Iberia,TFN,DUB,13h 45m,1 stop,€139,15/12/2023,11/12/2023
Iberia,TFN,DUB,14h 40m,1 stop,€160,15/12/2023,11/12/2023
Vueling,TFN,DUB,17h 40m,1 stop,€151,15/12/2023,11/12/2023
Iberia,TFN,DUB,19h 40m,1 stop,€178,15/12/2023,11/12/2023
Iberia,TFN,DUB,21h 20m,1 stop,€153,15/12/2023,11/12/2023
"Binter Canarias, Vueling",TFN,DUB,16h 00m,2 stops,€228,15/12/2023,11/12/2023
Iberia,TFN,DUB,22h 15m,1 stop,€167,15/12/2023,11/12/2023
Iberia Express,TFN,DUB,22h 15m,1 stop,€146,15/12/2023,11/12/2023
Iberia,TFN,DUB,23h 25m,1 stop,€178,15/12/2023,11/12/2023
Iberia Express,TFN,DUB,21h 20m,1 stop,€159,15/12/2023,11/12/2023
Iberia,TFN,DUB,25h 00m,1 stop,€178,15/12/2023,11/12/2023
Iberia,TFN,DUB,25h 05m,1 stop,€178,15/12/2023,11/12/2023
Iberia,TFN,DUB,26h 55m,1 stop,€178,15/12/2023,11/12/2023
,,,,,,,
,,,,,,,
,,,,,,,
