Airline,Source,Destination,Duration,Total stops,Price,Date,Date scraped
Iberia Express,IBZ,DUB,5h 50m,1 stop,€112,13/12/2023,13/12/2023
Iberia Express,IBZ,DUB,13h 40m,1 stop,€72,13/12/2023,13/12/2023
"Iberia, Iberia Express",IBZ,DUB,5h 50m,1 stop,€118,13/12/2023,13/12/2023
"Iberia Express, Iberia",IBZ,DUB,5h 50m,1 stop,€121,13/12/2023,13/12/2023
Iberia,IBZ,DUB,5h 50m,1 stop,€126,13/12/2023,13/12/2023
Vueling,IBZ,DUB,5h 50m,1 stop,€177,13/12/2023,13/12/2023
Iberia,IBZ,DUB,13h 40m,1 stop,€78,13/12/2023,13/12/2023
"Iberia, Iberia Express",IBZ,DUB,13h 40m,1 stop,€75,13/12/2023,13/12/2023
"Iberia Express, Iberia",IBZ,DUB,13h 40m,1 stop,€77,13/12/2023,13/12/2023
British Airways,IBZ,DUB,7h 45m,1 stop,€265,13/12/2023,13/12/2023
Vueling,IBZ,DUB,14h 05m,1 stop,€95,13/12/2023,13/12/2023
Iberia Express,IBZ,DUB,21h 35m,1 stop,€72,13/12/2023,13/12/2023
British Airways,IBZ,DUB,6h 20m,1 stop,€417,13/12/2023,13/12/2023
British Airways,IBZ,DUB,8h 25m,1 stop,€285,13/12/2023,13/12/2023
British Airways,IBZ,DUB,8h 45m,1 stop,€271,13/12/2023,13/12/2023
Vueling,IBZ,DUB,5h 55m,1 stop,€158,14/12/2023,13/12/2023
Vueling,IBZ,DUB,19h 25m,1 stop,€95,14/12/2023,13/12/2023
"Vueling, Aer Lingus",IBZ,DUB,5h 45m,1 stop,€206,14/12/2023,13/12/2023
Iberia,IBZ,DUB,5h 55m,1 stop,€300,14/12/2023,13/12/2023
Iberia,IBZ,DUB,10h 10m,1 stop,€188,14/12/2023,13/12/2023
"Vueling, Aer Lingus",IBZ,DUB,6h 40m,1 stop,€239,14/12/2023,13/12/2023
"Vueling, Aer Lingus",IBZ,DUB,8h 05m,1 stop,€221,14/12/2023,13/12/2023
British Airways,IBZ,DUB,7h 15m,1 stop,€310,14/12/2023,13/12/2023
"Iberia, British Airways",IBZ,DUB,7h 15m,1 stop,€323,14/12/2023,13/12/2023
"Air Europa, Aer Lingus",IBZ,DUB,8h 10m,1 stop,€256,14/12/2023,13/12/2023
British Airways,IBZ,DUB,8h 15m,1 stop,€321,14/12/2023,13/12/2023
Iberia,IBZ,DUB,5h 30m,1 stop,€526,14/12/2023,13/12/2023
"Iberia, British Airways",IBZ,DUB,8h 15m,1 stop,€334,14/12/2023,13/12/2023
"Vueling, Aer Lingus",IBZ,DUB,9h 05m,1 stop,€239,14/12/2023,13/12/2023
Iberia Express,IBZ,DUB,5h 55m,1 stop,€442,14/12/2023,13/12/2023
Vueling,IBZ,DUB,4h 50m,1 stop,€161,15/12/2023,13/12/2023
Vueling,IBZ,DUB,8h 05m,1 stop,€130,15/12/2023,13/12/2023
"Vueling, Aer Lingus",IBZ,DUB,6h 10m,1 stop,€227,15/12/2023,13/12/2023
"Vueling, Aer Lingus",IBZ,DUB,6h 40m,1 stop,€236,15/12/2023,13/12/2023
Iberia,IBZ,DUB,4h 50m,1 stop,€395,15/12/2023,13/12/2023
Iberia,IBZ,DUB,5h 55m,1 stop,€337,15/12/2023,13/12/2023
"Vueling, Aer Lingus",IBZ,DUB,8h 20m,1 stop,€219,15/12/2023,13/12/2023
British Airways,IBZ,DUB,7h 45m,1 stop,€310,15/12/2023,13/12/2023
British Airways,IBZ,DUB,8h 25m,1 stop,€297,15/12/2023,13/12/2023
Iberia,IBZ,DUB,18h 05m,1 stop,€209,15/12/2023,13/12/2023
British Airways,IBZ,DUB,8h 45m,1 stop,€294,15/12/2023,13/12/2023
"Vueling, Aer Lingus",IBZ,DUB,9h 35m,1 stop,€227,15/12/2023,13/12/2023
British Airways,IBZ,DUB,9h 45m,1 stop,€287,15/12/2023,13/12/2023
British Airways,IBZ,DUB,7h 10m,1 stop,€381,15/12/2023,13/12/2023
"Iberia, British Airways",IBZ,DUB,7h 45m,1 stop,€355,15/12/2023,13/12/2023
