Airline,Source,Destination,Duration,Total stops,Price,Date
Vueling,DUB,IBZ,22h 50m,1 stop,€92,2023-12-11
"Transavia France, Vueling",DUB,IBZ,17h 10m,1 stop,€103,2023-12-11
Multiple Airlines,DUB,IBZ,7h 35m,2 stops,€269,2023-12-11
Iberia,DUB,IBZ,12h 30m,1 stop,€252,2023-12-11
British Airways,DUB,IBZ,12h 30m,1 stop,€328,2023-12-11
"Aer Lingus, Vueling",DUB,IBZ,18h 55m,1 stop,€201,2023-12-11
"British Airways, Iberia",DUB,IBZ,14h 55m,1 stop,€309,2023-12-11
"Transavia France, Vueling",DUB,IBZ,17h 00m,2 stops,€189,2023-12-11
Iberia,DUB,IBZ,16h 45m,1 stop,€293,2023-12-11
Iberia Express,DUB,IBZ,12h 30m,1 stop,€309,2023-12-11
Multiple Airlines,DUB,IBZ,11h 45m,2 stops,€269,2023-12-11
"Transavia France, Vueling",DUB,IBZ,18h 00m,2 stops,€189,2023-12-11
"Aer Lingus, British Airways",DUB,IBZ,14h 55m,1 stop,€280,2023-12-11
Multiple Airlines,DUB,IBZ,15h 55m,2 stops,€210,2023-12-11
"Transavia France, Vueling",DUB,IBZ,13h 25m,2 stops,€247,2023-12-11
Vueling,DUB,IBZ,7h 15m,1 stop,€112,2023-12-12
"Aer Lingus, Vueling",DUB,IBZ,5h 40m,1 stop,€181,2023-12-12
"Aer Lingus, Vueling",DUB,IBZ,6h 40m,1 stop,€181,2023-12-12
"Aer Lingus, Air Europa",DUB,IBZ,5h 45m,1 stop,€282,2023-12-12
Iberia,DUB,IBZ,5h 00m,1 stop,€440,2023-12-12
"Aer Lingus, Vueling",DUB,IBZ,9h 10m,1 stop,€188,2023-12-12
"Aer Lingus, Transavia",DUB,IBZ,5h 45m,1 stop,€351,2023-12-12
British Airways,DUB,IBZ,4h 40m,1 stop,€534,2023-12-12
Iberia,DUB,IBZ,7h 15m,1 stop,€369,2023-12-12
"Aer Lingus, Vueling",DUB,IBZ,7h 25m,2 stops,€199,2023-12-12
"Air France, Vueling",DUB,IBZ,7h 05m,1 stop,€311,2023-12-12
"Vueling, Iberia",DUB,IBZ,6h 35m,2 stops,€224,2023-12-12
British Airways,DUB,IBZ,5h 00m,1 stop,€546,2023-12-12
Multiple Airlines,DUB,IBZ,16h 50m,2 stops,€154,2023-12-12
"Aer Lingus, Vueling",DUB,IBZ,9h 55m,2 stops,€188,2023-12-12
KLM,DUB,IBZ,19h 50m,2 stops,€314,2023-12-13
Vueling,DUB,IBZ,6h 35m,1 stop,€81,2023-12-13
"Aer Lingus, Vueling",DUB,IBZ,5h 40m,1 stop,€153,2023-12-13
Vueling,DUB,IBZ,9h 00m,1 stop,€87,2023-12-13
"Aer Lingus, Vueling",DUB,IBZ,6h 40m,1 stop,€147,2023-12-13
British Airways,DUB,IBZ,4h 35m,1 stop,€403,2023-12-13
Vueling,DUB,IBZ,12h 10m,1 stop,€92,2023-12-13
Iberia,DUB,IBZ,6h 35m,1 stop,€314,2023-12-13
"Aer Lingus, Vueling",DUB,IBZ,9h 05m,1 stop,€153,2023-12-13
"Vueling, Swiftair",DUB,IBZ,8h 15m,2 stops,€136,2023-12-13
Iberia,DUB,IBZ,9h 00m,1 stop,€330,2023-12-13
"Vueling, Air Europa",DUB,IBZ,8h 15m,2 stops,€140,2023-12-13
"Aer Lingus, Vueling",DUB,IBZ,11h 30m,1 stop,€160,2023-12-13
Iberia,DUB,IBZ,12h 25m,1 stop,€290,2023-12-13
"Vueling, Swiftair",DUB,IBZ,10h 45m,2 stops,€128,2023-12-13
"Vueling, Air Europa",DUB,IBZ,10h 45m,2 stops,€132,2023-12-13
Vueling,DUB,IBZ,6h 10m,1 stop,€71,2023-12-14
Vueling,DUB,IBZ,23h 10m,1 stop,€59,2023-12-14
Vueling,DUB,IBZ,8h 35m,1 stop,€99,2023-12-14
"Aer Lingus, Vueling",DUB,IBZ,5h 40m,1 stop,€145,2023-12-14
"Aer Lingus, Vueling",DUB,IBZ,5h 05m,1 stop,€174,2023-12-14
"Aer Lingus, Vueling",DUB,IBZ,6h 40m,1 stop,€145,2023-12-14
Iberia,DUB,IBZ,5h 00m,1 stop,€286,2023-12-14
Vueling,DUB,IBZ,11h 45m,1 stop,€87,2023-12-14
Iberia,DUB,IBZ,6h 10m,1 stop,€279,2023-12-14
British Airways,DUB,IBZ,5h 00m,1 stop,€379,2023-12-14
"Aer Lingus, Vueling",DUB,IBZ,9h 05m,1 stop,€145,2023-12-14
Iberia,DUB,IBZ,8h 40m,1 stop,€260,2023-12-14
"Transavia France, Vueling",DUB,IBZ,17h 05m,1 stop,€103,2023-12-14
"Vueling, Air Europa",DUB,IBZ,7h 50m,2 stops,€143,2023-12-14
British Airways,DUB,IBZ,6h 10m,1 stop,€386,2023-12-14
Vueling,DUB,IBZ,6h 20m,1 stop,€115,2023-12-15
Iberia,DUB,IBZ,12h 30m,1 stop,€119,2023-12-15
Iberia,DUB,IBZ,6h 20m,1 stop,€383,2023-12-15
Iberia,DUB,IBZ,8h 35m,1 stop,€479,2023-12-15
British Airways,DUB,IBZ,12h 20m,1 stop,€302,2023-12-15
Iberia,DUB,IBZ,16h 45m,1 stop,€253,2023-12-15
British Airways,DUB,IBZ,12h 15m,1 stop,€308,2023-12-15
