Airline,Source,Destination,Duration,Total stops,Price,Date
Aer Lingus,MAD,DUB,2h 40m,direct,€126,2023-12-11
Aer Lingus,MAD,DUB,2h 40m,direct,€126,2023-12-11
"Iberia Express, Aer Lingus",MAD,DUB,10h 20m,1 stop,€121,2023-12-11
Iberia Express,MAD,DUB,2h 40m,direct,€142,2023-12-11
Iberia,MAD,DUB,2h 40m,direct,€143,2023-12-11
Vueling,MAD,DUB,2h 40m,direct,€147,2023-12-11
Aer Lingus,MAD,DUB,2h 45m,direct,€159,2023-12-11
British Airways,MAD,DUB,2h 40m,direct,€182,2023-12-11
Iberia,MAD,DUB,2h 45m,direct,€184,2023-12-11
British Airways,MAD,DUB,2h 45m,direct,€224,2023-12-11
British Airways,MAD,DUB,4h 50m,1 stop,€151,2023-12-11
"Iberia Express, Aer Lingus",MAD,DUB,6h 55m,1 stop,€130,2023-12-11
"Iberia, British Airways",MAD,DUB,4h 50m,1 stop,€161,2023-12-11
Air France,MAD,DUB,5h 25m,1 stop,€156,2023-12-11
"Air Europa, Transavia France",MAD,DUB,5h 50m,1 stop,€142,2023-12-11
"Iberia, Aer Lingus",MAD,DUB,6h 55m,1 stop,€136,2023-12-11
"Iberia, Transavia France",MAD,DUB,5h 45m,1 stop,€147,2023-12-11
Aer Lingus,MAD,DUB,2h 30m,direct,€75,2023-12-12
Iberia Express,MAD,DUB,2h 30m,direct,€41,2023-12-12
Iberia,MAD,DUB,2h 30m,direct,€42,2023-12-12
Vueling,MAD,DUB,2h 30m,direct,€53,2023-12-12
Aer Lingus,MAD,DUB,2h 30m,direct,€75,2023-12-12
British Airways,MAD,DUB,2h 30m,direct,€78,2023-12-12
Aer Lingus,MAD,DUB,2h 45m,direct,€105,2023-12-12
Iberia,MAD,DUB,2h 45m,direct,€144,2023-12-12
British Airways,MAD,DUB,2h 45m,direct,€182,2023-12-12
Vueling,MAD,DUB,5h 30m,1 stop,€83,2023-12-12
British Airways,MAD,DUB,4h 50m,1 stop,€146,2023-12-12
Air France,MAD,DUB,5h 25m,1 stop,€143,2023-12-12
British Airways,MAD,DUB,5h 50m,1 stop,€136,2023-12-12
"Iberia, British Airways",MAD,DUB,5h 15m,1 stop,€157,2023-12-12
British Airways,MAD,DUB,6h 15m,1 stop,€136,2023-12-12
British Airways,MAD,DUB,6h 25m,1 stop,€136,2023-12-12
Aer Lingus,MAD,DUB,2h 40m,direct,€75,2023-12-13
Iberia Express,MAD,DUB,2h 40m,direct,€40,2023-12-13
Iberia,MAD,DUB,2h 40m,direct,€42,2023-12-13
Vueling,MAD,DUB,2h 40m,direct,€53,2023-12-13
Aer Lingus,MAD,DUB,2h 40m,direct,€75,2023-12-13
British Airways,MAD,DUB,2h 40m,direct,€78,2023-12-13
"Air Europa, Transavia France",MAD,DUB,5h 45m,1 stop,€102,2023-12-13
"Iberia, Transavia France",MAD,DUB,5h 40m,1 stop,€109,2023-12-13
Transavia France,MAD,DUB,6h 40m,1 stop,€96,2023-12-13
Air France,MAD,DUB,5h 25m,1 stop,€142,2023-12-13
British Airways,MAD,DUB,5h 50m,1 stop,€136,2023-12-13
British Airways,MAD,DUB,6h 05m,1 stop,€136,2023-12-13
British Airways,MAD,DUB,5h 15m,1 stop,€165,2023-12-13
"Iberia, British Airways",MAD,DUB,5h 15m,1 stop,€170,2023-12-13
