Airline,Source,Destination,Duration,Total stops,Price,Date
Iberia,DUB,IBZ,5h 00m,1 stop,€480,2023-12-26
"Aer Lingus, Air Europa",DUB,IBZ,30h 40m,2 stops,€283,2023-12-26
British Airways,DUB,IBZ,5h 00m,1 stop,€545,2023-12-26
Vueling,DUB,IBZ,7h 15m,1 stop,€458,2023-12-26
"Aer Lingus, Vueling",DUB,IBZ,5h 40m,1 stop,€466,2023-12-26
Vueling,DUB,IBZ,5h 00m,1 stop,€651,2023-12-26
"Aer Lingus, Vueling",DUB,IBZ,6h 40m,1 stop,€505,2023-12-26
"British Airways, Iberia",DUB,IBZ,8h 25m,2 stops,€558,2023-12-26
"British Airways, Iberia",DUB,IBZ,8h 55m,2 stops,€561,2023-12-26
"British Airways, Iberia",DUB,IBZ,8h 55m,2 stops,€561,2023-12-26
"British Airways, Iberia",DUB,IBZ,9h 25m,2 stops,€558,2023-12-26
"British Airways, Iberia",DUB,IBZ,9h 25m,2 stops,€558,2023-12-26
"British Airways, Iberia",DUB,IBZ,9h 35m,2 stops,€559,2023-12-26
"British Airways, Iberia",DUB,IBZ,9h 35m,2 stops,€564,2023-12-26
"British Airways, Iberia",DUB,IBZ,8h 25m,2 stops,€714,2023-12-26
"Aer Lingus, Vueling",DUB,IBZ,6h 25m,2 stops,€703,2023-12-26
"Aer Lingus, Air Europa",DUB,IBZ,5h 45m,1 stop,€475,2023-12-27
"Iberia Express, Air Europa",DUB,IBZ,36h 10m,2 stops,€329,2023-12-27
Vueling,DUB,IBZ,6h 35m,1 stop,€563,2023-12-27
Iberia,DUB,IBZ,8h 40m,1 stop,€466,2023-12-27
"Aer Lingus, Vueling",DUB,IBZ,5h 40m,1 stop,€545,2023-12-27
"Vueling, Iberia",DUB,IBZ,6h 45m,2 stops,€437,2023-12-27
Vueling,DUB,IBZ,7h 45m,1 stop,€550,2023-12-27
"British Airways, Iberia",DUB,IBZ,8h 55m,2 stops,€510,2023-12-27
"Aer Lingus, Vueling",DUB,IBZ,5h 55m,1 stop,€658,2023-12-27
"Aer Lingus, Vueling",DUB,IBZ,6h 40m,1 stop,€590,2023-12-27
"British Airways, Iberia",DUB,IBZ,9h 25m,2 stops,€512,2023-12-27
"British Airways, Iberia",DUB,IBZ,9h 35m,2 stops,€513,2023-12-27
Iberia,DUB,IBZ,12h 30m,1 stop,€346,2023-12-27
Multiple Airlines,DUB,IBZ,8h 40m,2 stops,€428,2023-12-27
"Aer Lingus, Vueling",DUB,IBZ,9h 35m,2 stops,€396,2023-12-27
Multiple Airlines,DUB,IBZ,9h 50m,2 stops,€398,2023-12-27
Iberia,DUB,IBZ,5h 00m,1 stop,€387,2023-12-28
Multiple Airlines,DUB,IBZ,36h 15m,2 stops,€247,2023-12-28
British Airways,DUB,IBZ,5h 00m,1 stop,€488,2023-12-28
Vueling,DUB,IBZ,6h 15m,1 stop,€398,2023-12-28
"Aer Lingus, Vueling",DUB,IBZ,5h 05m,1 stop,€491,2023-12-28
Iberia,DUB,IBZ,9h 00m,1 stop,€387,2023-12-28
"Aer Lingus, Air Europa",DUB,IBZ,5h 45m,1 stop,€508,2023-12-28
"Aer Lingus, Vueling",DUB,IBZ,5h 40m,1 stop,€466,2023-12-28
Vueling,DUB,IBZ,8h 40m,1 stop,€377,2023-12-28
Iberia,DUB,IBZ,8h 40m,1 stop,€462,2023-12-28
Vueling,DUB,IBZ,5h 00m,1 stop,€696,2023-12-28
Multiple Airlines,DUB,IBZ,7h 35m,2 stops,€409,2023-12-28
"Aer Lingus, Vueling",DUB,IBZ,6h 40m,1 stop,€505,2023-12-28
"British Airways, Iberia",DUB,IBZ,8h 25m,2 stops,€510,2023-12-28
"British Airways, Iberia",DUB,IBZ,8h 55m,2 stops,€512,2023-12-28
"Aer Lingus, Vueling",DUB,IBZ,7h 50m,2 stops,€445,2023-12-28
"Aer Lingus, Vueling",DUB,IBZ,5h 05m,1 stop,€431,2023-12-29
Multiple Airlines,DUB,IBZ,25h 35m,2 stops,€325,2023-12-29
Vueling,DUB,IBZ,6h 20m,1 stop,€510,2023-12-29
"Aer Lingus, Vueling",DUB,IBZ,5h 15m,1 stop,€491,2023-12-29
