Airline,Source,Destination,Duration,Total stops,Price,Date
Aer Lingus,DUB,MAD,2h 35m,direct,€201,2023-12-26
Aer Lingus,DUB,MAD,2h 35m,direct,€201,2023-12-26
Iberia,DUB,MAD,2h 35m,direct,€206,2023-12-26
Iberia Express,DUB,MAD,2h 35m,direct,€208,2023-12-26
Vueling,DUB,MAD,2h 35m,direct,€211,2023-12-26
British Airways,DUB,MAD,2h 35m,direct,€252,2023-12-26
Aer Lingus,DUB,MAD,2h 50m,direct,€473,2023-12-26
Lufthansa,DUB,MAD,5h 55m,1 stop,€228,2023-12-26
Vueling,DUB,MAD,6h 20m,1 stop,€241,2023-12-26
"Aer Lingus, Air Europa",DUB,MAD,6h 00m,1 stop,€252,2023-12-26
British Airways,DUB,MAD,5h 05m,1 stop,€344,2023-12-26
"British Airways, Iberia",DUB,MAD,5h 05m,1 stop,€357,2023-12-26
British Airways,DUB,MAD,6h 15m,1 stop,€303,2023-12-26
"British Airways, Iberia",DUB,MAD,6h 15m,1 stop,€307,2023-12-26
"Vueling, Air Europa",DUB,MAD,6h 20m,1 stop,€259,2023-12-26
"Aer Lingus, easyJet",DUB,MAD,5h 15m,1 stop,€324,2023-12-26
Aer Lingus,DUB,MAD,2h 35m,direct,€201,2023-12-27
Iberia Express,DUB,MAD,2h 35m,direct,€196,2023-12-27
Aer Lingus,DUB,MAD,2h 35m,direct,€201,2023-12-27
Iberia,DUB,MAD,2h 35m,direct,€204,2023-12-27
Vueling,DUB,MAD,2h 35m,direct,€211,2023-12-27
British Airways,DUB,MAD,2h 35m,direct,€252,2023-12-27
Iberia,DUB,MAD,2h 50m,direct,€316,2023-12-27
Aer Lingus,DUB,MAD,2h 50m,direct,€324,2023-12-27
Aer Lingus,DUB,MAD,2h 35m,direct,€359,2023-12-27
British Airways,DUB,MAD,2h 50m,direct,€369,2023-12-27
Iberia,DUB,MAD,2h 35m,direct,€421,2023-12-27
British Airways,DUB,MAD,2h 35m,direct,€476,2023-12-27
"Aer Lingus, Iberia Express",DUB,MAD,6h 05m,1 stop,€269,2023-12-27
"Aer Lingus, Iberia Express",DUB,MAD,7h 15m,1 stop,€269,2023-12-27
"Aer Lingus, Iberia",DUB,MAD,7h 15m,1 stop,€280,2023-12-27
"British Airways, Iberia",DUB,MAD,6h 00m,1 stop,€360,2023-12-27
Aer Lingus,DUB,MAD,2h 35m,direct,€251,2023-12-28
Iberia,DUB,MAD,2h 50m,direct,€159,2023-12-28
Iberia,DUB,MAD,2h 35m,direct,€177,2023-12-28
Iberia Express,DUB,MAD,2h 35m,direct,€230,2023-12-28
Vueling,DUB,MAD,2h 35m,direct,€244,2023-12-28
Aer Lingus,DUB,MAD,2h 35m,direct,€251,2023-12-28
British Airways,DUB,MAD,2h 35m,direct,€290,2023-12-28
Aer Lingus,DUB,MAD,2h 50m,direct,€352,2023-12-28
Iberia Express,DUB,MAD,2h 35m,direct,€377,2023-12-28
Iberia,DUB,MAD,2h 35m,direct,€384,2023-12-28
Vueling,DUB,MAD,2h 35m,direct,€405,2023-12-28
