Airline,Source,Destination,Duration,Total stops,Price,Date
Vueling,IBZ,DUB,7h 20m,1 stop,€108,2023-12-26
Vueling,IBZ,DUB,13h 40m,1 stop,€106,2023-12-26
"Vueling, Aer Lingus",IBZ,DUB,6h 40m,1 stop,€161,2023-12-26
British Airways,IBZ,DUB,6h 20m,1 stop,€285,2023-12-26
"Vueling, Air France",IBZ,DUB,8h 45m,1 stop,€189,2023-12-26
Vueling,IBZ,DUB,15h 55m,1 stop,€107,2023-12-26
British Airways,IBZ,DUB,7h 10m,1 stop,€285,2023-12-26
"Iberia, British Airways",IBZ,DUB,6h 20m,1 stop,€322,2023-12-26
"Transavia, Aer Lingus",IBZ,DUB,7h 40m,1 stop,€251,2023-12-26
British Airways,IBZ,DUB,7h 45m,1 stop,€285,2023-12-26
"Iberia, British Airways",IBZ,DUB,7h 45m,1 stop,€296,2023-12-26
"Iberia, British Airways",IBZ,DUB,7h 10m,1 stop,€322,2023-12-26
Iberia,IBZ,DUB,5h 30m,1 stop,€518,2023-12-26
Iberia,IBZ,DUB,7h 20m,1 stop,€326,2023-12-26
KLM,IBZ,DUB,7h 00m,1 stop,€360,2023-12-26
Iberia,IBZ,DUB,5h 30m,1 stop,€107,2023-12-27
"Iberia Express, Aer Lingus",IBZ,DUB,25h 25m,1 stop,€66,2023-12-27
Iberia,IBZ,DUB,5h 50m,1 stop,€151,2023-12-27
"Iberia Express, Aer Lingus",IBZ,DUB,5h 30m,1 stop,€159,2023-12-27
"Iberia, Aer Lingus",IBZ,DUB,5h 30m,1 stop,€163,2023-12-27
"Iberia Express, Iberia",IBZ,DUB,5h 30m,1 stop,€164,2023-12-27
British Airways,IBZ,DUB,5h 50m,1 stop,€202,2023-12-27
Iberia,IBZ,DUB,9h 40m,1 stop,€107,2023-12-27
Iberia Express,IBZ,DUB,13h 40m,1 stop,€71,2023-12-27
"Iberia Express, Iberia",IBZ,DUB,5h 30m,1 stop,€239,2023-12-27
"Iberia, Iberia Express",IBZ,DUB,13h 40m,1 stop,€74,2023-12-27
"Iberia Express, Iberia",IBZ,DUB,13h 40m,1 stop,€76,2023-12-27
KLM,IBZ,DUB,7h 20m,1 stop,€252,2023-12-27
Iberia,IBZ,DUB,5h 30m,1 stop,€291,2023-12-27
"Vueling, Aer Lingus",IBZ,DUB,6h 40m,1 stop,€219,2023-12-27
Iberia,IBZ,DUB,13h 40m,1 stop,€79,2023-12-27
"Vueling, Aer Lingus",IBZ,DUB,5h 45m,1 stop,€91,2023-12-28
Iberia Express,IBZ,DUB,21h 35m,1 stop,€87,2023-12-28
Iberia,IBZ,DUB,5h 30m,1 stop,€107,2023-12-28
Iberia,IBZ,DUB,5h 30m,1 stop,€107,2023-12-28
Iberia,IBZ,DUB,5h 55m,1 stop,€114,2023-12-28
"Iberia, Aer Lingus",IBZ,DUB,5h 30m,1 stop,€147,2023-12-28
"Vueling, Aer Lingus",IBZ,DUB,6h 40m,1 stop,€120,2023-12-28
British Airways,IBZ,DUB,5h 55m,1 stop,€171,2023-12-28
"Iberia, Iberia Express",IBZ,DUB,5h 55m,1 stop,€153,2023-12-28
"Vueling, Aer Lingus",IBZ,DUB,9h 05m,1 stop,€96,2023-12-28
"Vueling, Aer Lingus",IBZ,DUB,8h 05m,1 stop,€106,2023-12-28
"Iberia, Aer Lingus",IBZ,DUB,5h 30m,1 stop,€177,2023-12-28
Iberia,IBZ,DUB,9h 45m,1 stop,€107,2023-12-28
Iberia Express,IBZ,DUB,5h 55m,1 stop,€209,2023-12-28
Iberia,IBZ,DUB,10h 10m,1 stop,€114,2023-12-28
Vueling,IBZ,DUB,5h 55m,1 stop,€278,2023-12-28
Vueling,IBZ,DUB,4h 50m,1 stop,€133,2023-12-29
Iberia Express,IBZ,DUB,21h 35m,1 stop,€91,2023-12-29
Vueling,IBZ,DUB,8h 05m,1 stop,€95,2023-12-29
