Airline,Source,Destination,Duration,Total stops,Price,Date
Iberia,MAD,DUB,2h 45m,direct,€66,2023-12-26
Aer Lingus,MAD,DUB,2h 30m,direct,€166,2023-12-26
Iberia,MAD,DUB,2h 30m,direct,€170,2023-12-26
Iberia Express,MAD,DUB,2h 30m,direct,€171,2023-12-26
Vueling,MAD,DUB,2h 30m,direct,€176,2023-12-26
Aer Lingus,MAD,DUB,2h 45m,direct,€186,2023-12-26
British Airways,MAD,DUB,2h 30m,direct,€225,2023-12-26
Vueling,MAD,DUB,5h 30m,1 stop,€130,2023-12-26
British Airways,MAD,DUB,2h 45m,direct,€378,2023-12-26
"Iberia, Vueling",MAD,DUB,8h 15m,1 stop,€120,2023-12-26
Air France,MAD,DUB,5h 25m,1 stop,€182,2023-12-26
"Iberia, Vueling",MAD,DUB,6h 45m,1 stop,€146,2023-12-26
"Air Europa, Aer Lingus",MAD,DUB,8h 50m,1 stop,€127,2023-12-26
"Iberia, Vueling",MAD,DUB,7h 45m,1 stop,€146,2023-12-26
"Iberia, Aer Lingus",MAD,DUB,6h 05m,1 stop,€184,2023-12-26
Aer Lingus,MAD,DUB,2h 40m,direct,€67,2023-12-27
Aer Lingus,MAD,DUB,2h 40m,direct,€62,2023-12-27
Iberia,MAD,DUB,2h 40m,direct,€66,2023-12-27
British Airways,MAD,DUB,2h 40m,direct,€103,2023-12-27
Iberia,MAD,DUB,2h 45m,direct,€128,2023-12-27
Aer Lingus,MAD,DUB,2h 45m,direct,€186,2023-12-27
Iberia Express,MAD,DUB,2h 40m,direct,€228,2023-12-27
Iberia,MAD,DUB,2h 40m,direct,€229,2023-12-27
Vueling,MAD,DUB,2h 40m,direct,€242,2023-12-27
Aer Lingus,MAD,DUB,2h 40m,direct,€260,2023-12-27
British Airways,MAD,DUB,2h 45m,direct,€261,2023-12-27
British Airways,MAD,DUB,2h 40m,direct,€299,2023-12-27
KLM,MAD,DUB,6h 40m,1 stop,€135,2023-12-27
Air France,MAD,DUB,5h 25m,1 stop,€159,2023-12-27
KLM,MAD,DUB,6h 10m,1 stop,€172,2023-12-27
"Air Europa, Aer Lingus",MAD,DUB,8h 50m,1 stop,€127,2023-12-27
Aer Lingus,MAD,DUB,2h 40m,direct,€45,2023-12-28
Aer Lingus,MAD,DUB,2h 40m,direct,€40,2023-12-28
Iberia,MAD,DUB,2h 30m,direct,€49,2023-12-28
Iberia Express,MAD,DUB,2h 30m,direct,€49,2023-12-28
Iberia,MAD,DUB,2h 40m,direct,€49,2023-12-28
