Airline,Source,Destination,Duration,Total stops,Price,Date
Vueling,DUB,IBZ,6h 35m,1 stop,€68,2023-12-13
Vueling,DUB,IBZ,9h 00m,1 stop,€102,2023-12-13
"Aer Lingus, Vueling",DUB,IBZ,5h 40m,1 stop,€237,2023-12-13
Vueling,DUB,IBZ,12h 10m,1 stop,€95,2023-12-13
"Aer Lingus, Vueling",DUB,IBZ,6h 40m,1 stop,€223,2023-12-13
Iberia,DUB,IBZ,6h 35m,1 stop,€301,2023-12-13
"Vueling, Iberia",DUB,IBZ,6h 50m,2 stops,€188,2023-12-13
"Aer Lingus, Vueling",DUB,IBZ,7h 25m,2 stops,€200,2023-12-13
Multiple Airlines,DUB,IBZ,7h 25m,2 stops,€205,2023-12-13
Iberia,DUB,IBZ,9h 00m,1 stop,€320,2023-12-13
"Vueling, Air Europa",DUB,IBZ,8h 15m,2 stops,€178,2023-12-13
"Vueling, Air Europa",DUB,IBZ,10h 45m,2 stops,€143,2023-12-13
"Vueling, Swiftair",DUB,IBZ,8h 15m,2 stops,€183,2023-12-13
"Vueling, Air Europa",DUB,IBZ,8h 15m,2 stops,€183,2023-12-13
"Vueling, Air Europa",DUB,IBZ,8h 15m,2 stops,€186,2023-12-13
Vueling,DUB,IBZ,6h 10m,1 stop,€89,2023-12-14
Vueling,DUB,IBZ,23h 10m,1 stop,€74,2023-12-14
Vueling,DUB,IBZ,8h 35m,1 stop,€107,2023-12-14
"Aer Lingus, Vueling",DUB,IBZ,5h 40m,1 stop,€190,2023-12-14
"Aer Lingus, Vueling",DUB,IBZ,5h 05m,1 stop,€221,2023-12-14
Vueling,DUB,IBZ,11h 45m,1 stop,€107,2023-12-14
"Aer Lingus, Vueling",DUB,IBZ,6h 40m,1 stop,€190,2023-12-14
Iberia,DUB,IBZ,5h 00m,1 stop,€370,2023-12-14
"Vueling, Air Europa",DUB,IBZ,7h 50m,2 stops,€144,2023-12-14
Iberia,DUB,IBZ,6h 10m,1 stop,€309,2023-12-14
"Iberia, Iberia Express",DUB,IBZ,5h 00m,1 stop,€403,2023-12-14
British Airways,DUB,IBZ,5h 00m,1 stop,€488,2023-12-14
British Airways,DUB,IBZ,6h 10m,1 stop,€430,2023-12-14
"Aer Lingus, Vueling",DUB,IBZ,9h 05m,1 stop,€197,2023-12-14
"Transavia France, Vueling",DUB,IBZ,17h 05m,1 stop,€141,2023-12-14
Vueling,DUB,IBZ,6h 20m,1 stop,€132,2023-12-15
Iberia,DUB,IBZ,12h 30m,1 stop,€113,2023-12-15
"Aer Lingus, Vueling",DUB,IBZ,6h 30m,1 stop,€178,2023-12-15
Iberia,DUB,IBZ,6h 20m,1 stop,€343,2023-12-15
"Aer Lingus, Vueling",DUB,IBZ,8h 40m,1 stop,€190,2023-12-15
Iberia,DUB,IBZ,25h 05m,1 stop,€146,2023-12-15
Iberia,DUB,IBZ,16h 45m,1 stop,€176,2023-12-15
"Aer Lingus, Vueling",DUB,IBZ,11h 30m,1 stop,€211,2023-12-15
Iberia,DUB,IBZ,8h 35m,1 stop,€479,2023-12-15
British Airways,DUB,IBZ,12h 35m,1 stop,€315,2023-12-15
"Aer Lingus, Vueling",DUB,IBZ,14h 40m,1 stop,€211,2023-12-15
British Airways,DUB,IBZ,12h 20m,1 stop,€327,2023-12-15
