Airline,Source,Destination,Duration,Total stops,Price,Date
Vueling,DUB,TFN,9h 35m,1 stop,€150,2023-12-13
"Aer Lingus, Binter Canarias",DUB,TFN,8h 40m,1 stop,€274,2023-12-13
"Aer Lingus, Binter Canarias",DUB,TFN,10h 00m,1 stop,€274,2023-12-13
Iberia,DUB,TFN,9h 35m,1 stop,€387,2023-12-13
Multiple Airlines,DUB,TFN,10h 20m,3 stops,€229,2023-12-13
Multiple Airlines,DUB,TFN,10h 20m,3 stops,€248,2023-12-13
Multiple Airlines,DUB,TFN,10h 50m,2 stops,€227,2023-12-13
Multiple Airlines,DUB,TFN,10h 50m,2 stops,€229,2023-12-13
"Aer Lingus, Binter Canarias",DUB,TFN,8h 40m,2 stops,€342,2023-12-13
Vueling,DUB,TFN,14h 20m,1 stop,€322,2023-12-13
"Iberia Express, Air Europa",DUB,TFN,13h 50m,1 stop,€249,2023-12-13
"Aer Lingus, Air Europa",DUB,TFN,13h 50m,1 stop,€266,2023-12-13
"Vueling, Binter Canarias",DUB,TFN,12h 45m,2 stops,€245,2023-12-13
Vueling,DUB,TFN,15h 35m,1 stop,€303,2023-12-13
Iberia,DUB,TFN,15h 35m,1 stop,€270,2023-12-13
"Aer Lingus, Binter Canarias",DUB,TFN,7h 30m,1 stop,€203,2023-12-14
"Vueling, Air Europa",DUB,TFN,22h 45m,2 stops,€152,2023-12-14
Vueling,DUB,TFN,9h 10m,1 stop,€234,2023-12-14
"Aer Lingus, Binter Canarias",DUB,TFN,8h 10m,1 stop,€249,2023-12-14
"Aer Lingus, Binter Canarias",DUB,TFN,8h 45m,1 stop,€229,2023-12-14
Iberia,DUB,TFN,10h 10m,1 stop,€289,2023-12-14
"Aer Lingus, Binter Canarias",DUB,TFN,9h 30m,1 stop,€249,2023-12-14
Iberia,DUB,TFN,13h 50m,1 stop,€238,2023-12-14
Iberia,DUB,TFN,8h 20m,1 stop,€486,2023-12-14
Iberia,DUB,TFN,9h 10m,1 stop,€417,2023-12-14
Multiple Airlines,DUB,TFN,9h 45m,2 stops,€247,2023-12-14
Iberia,DUB,TFN,9h 15m,1 stop,€486,2023-12-14
Vueling,DUB,TFN,8h 20m,1 stop,€644,2023-12-14
"Aer Lingus, Vueling",DUB,TFN,11h 50m,1 stop,€287,2023-12-14
Multiple Airlines,DUB,TFN,11h 15m,2 stops,€247,2023-12-14
Iberia,DUB,TFN,11h 10m,1 stop,€486,2023-12-14
"Aer Lingus, Vueling",DUB,TFN,16h 55m,1 stop,€114,2023-12-15
Iberia,DUB,TFN,14h 25m,1 stop,€196,2023-12-15
Multiple Airlines,DUB,TFN,9h 50m,2 stops,€248,2023-12-15
Iberia,DUB,TFN,19h 20m,1 stop,€211,2023-12-15
Iberia,DUB,TFN,21h 40m,1 stop,€211,2023-12-15
"Vueling, Air Europa",DUB,TFN,17h 20m,2 stops,€192,2023-12-15
Iberia,DUB,TFN,23h 25m,1 stop,€211,2023-12-15
"Aer Lingus, Vueling",DUB,TFN,16h 55m,1 stop,€214,2023-12-15
"Aer Lingus, Air Europa",DUB,TFN,13h 55m,1 stop,€266,2023-12-15
Vueling,DUB,TFN,14h 25m,1 stop,€320,2023-12-15
Iberia,DUB,TFN,15h 40m,1 stop,€307,2023-12-15
Multiple Airlines,DUB,TFN,12h 50m,2 stops,€256,2023-12-15
Multiple Airlines,DUB,TFN,13h 50m,2 stops,€256,2023-12-15
Multiple Airlines,DUB,TFN,12h 20m,2 stops,€280,2023-12-15
"Aer Lingus, Air Europa",DUB,TFN,17h 45m,2 stops,€235,2023-12-15
"Aer Lingus, Binter Canarias",DUB,TFN,6h 10m,1 stop,€213,2023-12-16
"Aer Lingus, Binter Canarias",DUB,TFN,8h 00m,1 stop,€161,2023-12-16
"Aer Lingus, Binter Canarias",DUB,TFN,7h 00m,1 stop,€185,2023-12-16
"Aer Lingus, Binter Canarias",DUB,TFN,9h 00m,1 stop,€161,2023-12-16
"Aer Lingus, Air Europa",DUB,TFN,7h 45m,1 stop,€203,2023-12-16
"Aer Lingus, Canaryfly",DUB,TFN,7h 45m,1 stop,€205,2023-12-16
Iberia Express,DUB,TFN,7h 00m,1 stop,€249,2023-12-16
"Iberia Express, Iberia",DUB,TFN,7h 00m,1 stop,€264,2023-12-16
Iberia,DUB,TFN,7h 00m,1 stop,€277,2023-12-16
Vueling,DUB,TFN,8h 00m,1 stop,€285,2023-12-16
"Aer Lingus, Binter Canarias",DUB,TFN,8h 40m,1 stop,€206,2023-12-16
Iberia Express,DUB,TFN,8h 00m,1 stop,€249,2023-12-16
"Aer Lingus, Binter Canarias",DUB,TFN,8h 15m,2 stops,€205,2023-12-16
"Iberia Express, Iberia",DUB,TFN,8h 00m,1 stop,€264,2023-12-16
Iberia,DUB,TFN,8h 00m,1 stop,€277,2023-12-16
"Aer Lingus, Binter Canarias",DUB,TFN,8h 40m,1 stop,€242,2023-12-17
Multiple Airlines,DUB,TFN,12h 45m,2 stops,€164,2023-12-17
"Aer Lingus, Air Europa",DUB,TFN,10h 05m,1 stop,€203,2023-12-17
"Aer Lingus, Canaryfly",DUB,TFN,10h 05m,1 stop,€205,2023-12-17
"Aer Lingus, Binter Canarias",DUB,TFN,10h 05m,1 stop,€206,2023-12-17
"Aer Lingus, Binter Canarias",DUB,TFN,9h 20m,2 stops,€209,2023-12-17
"Aer Lingus, Binter Canarias",DUB,TFN,11h 20m,1 stop,€206,2023-12-17
"Aer Lingus, Binter Canarias",DUB,TFN,9h 50m,2 stops,€208,2023-12-17
"Aer Lingus, Binter Canarias",DUB,TFN,12h 50m,1 stop,€206,2023-12-17
"Aer Lingus, Canaryfly",DUB,TFN,10h 20m,2 stops,€207,2023-12-17
Multiple Airlines,DUB,TFN,9h 40m,2 stops,€220,2023-12-17
Multiple Airlines,DUB,TFN,9h 50m,2 stops,€218,2023-12-17
Multiple Airlines,DUB,TFN,9h 50m,2 stops,€218,2023-12-17
"Aer Lingus, Binter Canarias",DUB,TFN,14h 00m,1 stop,€206,2023-12-17
"Aer Lingus, Binter Canarias",DUB,TFN,15h 20m,1 stop,€206,2023-12-17
"Aer Lingus, Binter Canarias",DUB,TFN,7h 00m,1 stop,€217,2023-12-18
Multiple Airlines,DUB,TFN,12h 30m,2 stops,€160,2023-12-18
"Aer Lingus, Binter Canarias",DUB,TFN,8h 00m,1 stop,€201,2023-12-18
"Aer Lingus, Binter Canarias",DUB,TFN,9h 00m,1 stop,€217,2023-12-18
"Aer Lingus, Binter Canarias",DUB,TFN,8h 40m,1 stop,€235,2023-12-18
Iberia,DUB,TFN,14h 25m,1 stop,€165,2023-12-18
Multiple Airlines,DUB,TFN,9h 50m,2 stops,€186,2023-12-18
Vueling,DUB,TFN,9h 35m,2 stops,€185,2023-12-18
British Airways,DUB,TFN,14h 25m,1 stop,€182,2023-12-18
Multiple Airlines,DUB,TFN,10h 00m,2 stops,€203,2023-12-18
Multiple Airlines,DUB,TFN,9h 50m,2 stops,€212,2023-12-18
Multiple Airlines,DUB,TFN,9h 20m,2 stops,€232,2023-12-18
"Iberia, Air Europa",DUB,TFN,16h 40m,1 stop,€171,2023-12-18
Multiple Airlines,DUB,TFN,10h 20m,2 stops,€212,2023-12-18
Multiple Airlines,DUB,TFN,10h 50m,2 stops,€203,2023-12-18
"Aer Lingus, Binter Canarias",DUB,TFN,7h 00m,1 stop,€257,2023-12-19
Multiple Airlines,DUB,TFN,9h 50m,2 stops,€217,2023-12-19
"Aer Lingus, Binter Canarias",DUB,TFN,8h 00m,1 stop,€241,2023-12-19
Iberia Express,DUB,TFN,7h 20m,1 stop,€315,2023-12-19
Iberia,DUB,TFN,7h 20m,1 stop,€340,2023-12-19
Iberia,DUB,TFN,8h 20m,1 stop,€267,2023-12-19
"Aer Lingus, Binter Canarias",DUB,TFN,9h 00m,1 stop,€258,2023-12-19
Vueling,DUB,TFN,8h 20m,1 stop,€398,2023-12-19
British Airways,DUB,TFN,7h 20m,1 stop,€508,2023-12-19
"Aer Lingus, Binter Canarias",DUB,TFN,7h 15m,1 stop,€441,2023-12-19
Iberia Express,DUB,TFN,8h 20m,1 stop,€310,2023-12-19
Multiple Airlines,DUB,TFN,9h 50m,3 stops,€231,2023-12-19
Multiple Airlines,DUB,TFN,9h 35m,2 stops,€233,2023-12-19
