Airline,Source,Destination,Duration,Total stops,Price,Date
Aer Lingus,MAD,DUB,2h 40m,direct,€75,2023-12-13
Iberia Express,MAD,DUB,2h 40m,direct,€47,2023-12-13
Iberia,MAD,DUB,2h 40m,direct,€50,2023-12-13
Vueling,MAD,DUB,2h 40m,direct,€53,2023-12-13
Aer Lingus,MAD,DUB,2h 40m,direct,€75,2023-12-13
Transavia France,MAD,DUB,6h 40m,1 stop,€96,2023-12-13
Air France,MAD,DUB,5h 25m,1 stop,€141,2023-12-13
"Air Europa, Transavia France",MAD,DUB,5h 45m,1 stop,€117,2023-12-13
"Iberia, Transavia France",MAD,DUB,5h 40m,1 stop,€119,2023-12-13
British Airways,MAD,DUB,5h 50m,1 stop,€140,2023-12-13
"Iberia, British Airways",MAD,DUB,5h 15m,1 stop,€170,2023-12-13
British Airways,MAD,DUB,6h 05m,1 stop,€134,2023-12-13
British Airways,MAD,DUB,6h 15m,1 stop,€140,2023-12-13
"Iberia, British Airways",MAD,DUB,5h 25m,1 stop,€176,2023-12-13
British Airways,MAD,DUB,6h 25m,1 stop,€140,2023-12-13
British Airways,MAD,DUB,5h 15m,1 stop,€195,2023-12-13
Aer Lingus,MAD,DUB,2h 30m,direct,€75,2023-12-14
Iberia Express,MAD,DUB,2h 30m,direct,€49,2023-12-14
Iberia,MAD,DUB,2h 30m,direct,€50,2023-12-14
Iberia Express,MAD,DUB,2h 40m,direct,€49,2023-12-14
Iberia,MAD,DUB,2h 40m,direct,€50,2023-12-14
Vueling,MAD,DUB,2h 30m,direct,€53,2023-12-14
Vueling,MAD,DUB,2h 40m,direct,€53,2023-12-14
Aer Lingus,MAD,DUB,2h 30m,direct,€75,2023-12-14
Aer Lingus,MAD,DUB,2h 40m,direct,€75,2023-12-14
British Airways,MAD,DUB,2h 30m,direct,€86,2023-12-14
British Airways,MAD,DUB,2h 40m,direct,€86,2023-12-14
Aer Lingus,MAD,DUB,2h 45m,direct,€120,2023-12-14
Aer Lingus,MAD,DUB,2h 40m,direct,€120,2023-12-14
Iberia,MAD,DUB,2h 45m,direct,€142,2023-12-14
Iberia,MAD,DUB,2h 40m,direct,€142,2023-12-14
British Airways,MAD,DUB,2h 45m,direct,€182,2023-12-14
Iberia,MAD,DUB,2h 40m,direct,€37,2023-12-15
Iberia Express,MAD,DUB,2h 40m,direct,€39,2023-12-15
Vueling,MAD,DUB,2h 40m,direct,€53,2023-12-15
British Airways,MAD,DUB,2h 40m,direct,€73,2023-12-15
Aer Lingus,MAD,DUB,2h 40m,direct,€75,2023-12-15
Aer Lingus,MAD,DUB,2h 45m,direct,€106,2023-12-15
Aer Lingus,MAD,DUB,2h 40m,direct,€106,2023-12-15
Iberia,MAD,DUB,2h 40m,direct,€143,2023-12-15
Iberia,MAD,DUB,2h 45m,direct,€143,2023-12-15
British Airways,MAD,DUB,2h 40m,direct,€182,2023-12-15
British Airways,MAD,DUB,2h 45m,direct,€182,2023-12-15
Vueling,MAD,DUB,6h 15m,1 stop,€92,2023-12-15
Air France,MAD,DUB,5h 25m,1 stop,€142,2023-12-15
Vueling,MAD,DUB,9h 00m,1 stop,€88,2023-12-15
Vueling,MAD,DUB,8h 30m,1 stop,€94,2023-12-15
"Air Europa, Vueling",MAD,DUB,8h 15m,1 stop,€96,2023-12-15
"Iberia, Vueling",MAD,DUB,9h 00m,1 stop,€94,2023-12-15
"Iberia, Vueling",MAD,DUB,8h 30m,1 stop,€100,2023-12-15
British Airways,MAD,DUB,5h 25m,1 stop,€201,2023-12-15
British Airways,MAD,DUB,5h 50m,1 stop,€188,2023-12-15
"Iberia, Vueling",MAD,DUB,8h 00m,1 stop,€114,2023-12-15
"Iberia, British Airways",MAD,DUB,5h 50m,1 stop,€198,2023-12-15
"Air Europa, Transavia France",MAD,DUB,5h 45m,1 stop,€176,2023-12-15
British Airways,MAD,DUB,6h 25m,1 stop,€188,2023-12-15
British Airways,MAD,DUB,6h 15m,1 stop,€195,2023-12-15
"Iberia, British Airways",MAD,DUB,6h 30m,1 stop,€189,2023-12-15
British Airways,MAD,DUB,6h 05m,1 stop,€210,2023-12-15
"Iberia, British Airways",MAD,DUB,6h 25m,1 stop,€198,2023-12-15
"Iberia Express, Aer Lingus",MAD,DUB,8h 00m,1 stop,€127,2023-12-15
"Iberia, Vueling",MAD,DUB,6h 50m,1 stop,€161,2023-12-15
Iberia Express,MAD,DUB,2h 40m,direct,€30,2023-12-16
Iberia Express,MAD,DUB,2h 30m,direct,€37,2023-12-16
Iberia,MAD,DUB,2h 30m,direct,€37,2023-12-16
Iberia,MAD,DUB,2h 40m,direct,€37,2023-12-16
