Airline,Source,Destination,Duration,Total stops,Price,Date
Vueling,DUB,IBZ,6h 20m,1 stop,€127,2023-12-15
Vueling,DUB,IBZ,17h 45m,1 stop,€84,2023-12-15
"Aer Lingus, Vueling",DUB,IBZ,5h 05m,1 stop,€276,2023-12-15
Iberia,DUB,IBZ,12h 30m,1 stop,€140,2023-12-15
Vueling,DUB,IBZ,20h 45m,1 stop,€84,2023-12-15
"Transavia France, Iberia",DUB,IBZ,7h 50m,2 stops,€250,2023-12-15
"Iberia, Iberia Express",DUB,IBZ,12h 30m,1 stop,€224,2023-12-15
Iberia,DUB,IBZ,15h 15m,1 stop,€243,2023-12-15
British Airways,DUB,IBZ,12h 20m,1 stop,€335,2023-12-15
"Vueling, Iberia Express",DUB,IBZ,15h 55m,2 stops,€157,2023-12-15
British Airways,DUB,IBZ,12h 15m,1 stop,€344,2023-12-15
British Airways,DUB,IBZ,12h 35m,1 stop,€365,2023-12-15
"Vueling, Iberia",DUB,IBZ,15h 55m,2 stops,€161,2023-12-15
British Airways,DUB,IBZ,13h 15m,1 stop,€354,2023-12-15
"Vueling, Air Europa",DUB,IBZ,15h 35m,2 stops,€177,2023-12-15
