Airline,Source,Destination,Duration,Total stops,Price,Date
"Aer Lingus, Vueling",DUB,TFN,16h 55m,1 stop,€125,2023-12-15
Vueling,DUB,TFN,18h 10m,1 stop,€132,2023-12-15
"Aer Lingus, Binter Canarias",DUB,TFN,8h 40m,1 stop,€331,2023-12-15
"Vueling, Air Europa",DUB,TFN,17h 20m,2 stops,€181,2023-12-15
"Iberia, Air Europa",DUB,TFN,13h 55m,1 stop,€253,2023-12-15
"Vueling, Air Europa",DUB,TFN,13h 55m,1 stop,€253,2023-12-15
"Iberia Express, Air Europa",DUB,TFN,13h 55m,1 stop,€253,2023-12-15
"Transavia France, Iberia",DUB,TFN,18h 30m,2 stops,€191,2023-12-15
"Aer Lingus, Air Europa",DUB,TFN,17h 45m,2 stops,€194,2023-12-15
British Airways,DUB,TFN,10h 10m,2 stops,€586,2023-12-15
"Aer Lingus, Vueling",DUB,TFN,16h 55m,1 stop,€259,2023-12-15
"Vueling, Iberia",DUB,TFN,14h 25m,1 stop,€344,2023-12-15
Iberia,DUB,TFN,14h 25m,1 stop,€355,2023-12-15
"Aer Lingus, Air Europa",DUB,TFN,16h 40m,1 stop,€313,2023-12-15
"Vueling, Iberia Express",DUB,TFN,17h 50m,2 stops,€251,2023-12-15
"Vueling, Iberia",DUB,TFN,17h 50m,2 stops,€270,2023-12-15
Multiple Airlines,DUB,TFN,18h 15m,2 stops,€275,2023-12-15
"Transavia France, Vueling",DUB,TFN,19h 40m,2 stops,€255,2023-12-15
"Vueling, Binter Canarias",DUB,TFN,16h 15m,2 stops,€332,2023-12-15
Multiple Airlines,DUB,TFN,17h 45m,2 stops,€284,2023-12-15
Vueling,DUB,TFN,16h 30m,2 stops,€330,2023-12-15
Vueling,DUB,TFN,19h 40m,2 stops,€266,2023-12-15
"Transavia France, Vueling",DUB,TFN,19h 40m,2 stops,€268,2023-12-15
"Vueling, Binter Canarias",DUB,TFN,17h 40m,2 stops,€332,2023-12-15
Vueling,DUB,TFN,19h 40m,2 stops,€280,2023-12-15
Iberia,DUB,TFN,18h 10m,1 stop,€415,2023-12-15
British Airways,DUB,TFN,12h 05m,2 stops,€593,2023-12-15
Multiple Airlines,DUB,TFN,19h 35m,2 stops,€327,2023-12-15
British Airways,DUB,TFN,12h 05m,2 stops,€701,2023-12-15
Multiple Airlines,DUB,TFN,19h 30m,3 stops,€429,2023-12-15
