Airline,Source,Destination,Duration,Total stops,Price,Date
Vueling,IBZ,DUB,4h 50m,1 stop,€204,2023-12-15
Vueling,IBZ,DUB,18h 40m,1 stop,€95,2023-12-15
"Vueling, Transavia France",IBZ,DUB,5h 30m,1 stop,€188,2023-12-15
"Vueling, Aer Lingus",IBZ,DUB,6h 10m,1 stop,€263,2023-12-15
British Airways,IBZ,DUB,7h 45m,1 stop,€336,2023-12-15
British Airways,IBZ,DUB,8h 25m,1 stop,€324,2023-12-15
"Vueling, Aer Lingus",IBZ,DUB,8h 20m,1 stop,€272,2023-12-15
"Iberia, British Airways",IBZ,DUB,7h 45m,1 stop,€353,2023-12-15
Iberia,IBZ,DUB,4h 50m,1 stop,€550,2023-12-15
"Iberia, British Airways",IBZ,DUB,8h 25m,1 stop,€340,2023-12-15
British Airways,IBZ,DUB,8h 45m,1 stop,€336,2023-12-15
"Vueling, Aer Lingus",IBZ,DUB,9h 35m,1 stop,€272,2023-12-15
Iberia,IBZ,DUB,5h 30m,1 stop,€526,2023-12-15
British Airways,IBZ,DUB,9h 45m,1 stop,€321,2023-12-15
Iberia,IBZ,DUB,5h 55m,1 stop,€509,2023-12-15
