Airline,Source,Destination,Duration,Total stops,Price,Date
Iberia,TFN,DUB,7h 00m,1 stop,€263,2023-12-15
Vueling,TFN,DUB,17h 40m,1 stop,€151,2023-12-15
Iberia,TFN,DUB,13h 45m,1 stop,€164,2023-12-15
"Air Europa, Aer Lingus",TFN,DUB,8h 15m,1 stop,€237,2023-12-15
"Canaryfly, Aer Lingus",TFN,DUB,8h 15m,1 stop,€239,2023-12-15
Iberia,TFN,DUB,14h 40m,1 stop,€164,2023-12-15
Iberia,TFN,DUB,8h 40m,1 stop,€271,2023-12-15
"Binter Canarias, Aer Lingus",TFN,DUB,9h 40m,1 stop,€244,2023-12-15
"Binter Canarias, Aer Lingus",TFN,DUB,7h 50m,2 stops,€283,2023-12-15
Iberia Express,TFN,DUB,13h 45m,1 stop,€178,2023-12-15
Iberia,TFN,DUB,17h 25m,1 stop,€182,2023-12-15
"Iberia Express, Iberia",TFN,DUB,13h 45m,1 stop,€185,2023-12-15
Iberia,TFN,DUB,10h 30m,1 stop,€271,2023-12-15
"Iberia, Iberia Express",TFN,DUB,13h 45m,1 stop,€186,2023-12-15
Iberia Express,TFN,DUB,14h 40m,1 stop,€200,2023-12-15
