Airline,Source,Destination,Duration,Total stops,Price,Date
Iberia,DUB,MAD,2h 35m,directo,82 €,2024-03-01
Iberia,DUB,MAD,2h 35m,directo,67 €,2024-03-01
Iberia Express,DUB,MAD,2h 35m,directo,78 €,2024-03-01
Aer Lingus,DUB,MAD,2h 35m,directo,90 €,2024-03-01
Ryanair,DUB,MAD,2h 35m,directo,98 €,2024-03-01
Vueling,DUB,MAD,2h 35m,directo,98 €,2024-03-01
Ryanair,DUB,MAD,2h 30m,directo,132 €,2024-03-01
Aer Lingus,DUB,MAD,2h 35m,directo,150 €,2024-03-01
Aer Lingus,DUB,MAD,2h 50m,directo,170 €,2024-03-01
Ryanair,DUB,MAD,2h 35m,directo,175 €,2024-03-01
Iberia,DUB,MAD,2h 35m,directo,205 €,2024-03-01
KLM,DUB,MAD,5h 05m,1 escala,110 €,2024-03-01
KLM,DUB,MAD,5h 10m,1 escala,110 €,2024-03-01
TAP AIR PORTUGAL,DUB,MAD,5h 50m,1 escala,100 €,2024-03-01
KLM,DUB,MAD,5h 20m,1 escala,110 €,2024-03-01
Iberia,DUB,MAD,2h 50m,directo,240 €,2024-03-01
Aer Lingus,DUB,MAD,2h 50m,directo,72 €,2024-03-02
Ryanair,DUB,MAD,2h 35m,directo,56 €,2024-03-02
Ryanair,DUB,MAD,2h 35m,directo,64 €,2024-03-02
Aer Lingus,DUB,MAD,2h 50m,directo,72 €,2024-03-02
Iberia,DUB,MAD,2h 50m,directo,91 €,2024-03-02
Iberia Express,DUB,MAD,2h 35m,directo,98 €,2024-03-02
Ryanair,DUB,MAD,2h 35m,directo,101 €,2024-03-02
Iberia,DUB,MAD,2h 35m,directo,102 €,2024-03-02
Aer Lingus,DUB,MAD,2h 35m,directo,117 €,2024-03-02
Vueling,DUB,MAD,2h 35m,directo,128 €,2024-03-02
KLM,DUB,MAD,5h 10m,1 escala,97 €,2024-03-02
British Airways,DUB,MAD,5h 35m,1 escala,100 €,2024-03-02
British Airways,DUB,MAD,5h 30m,1 escala,104 €,2024-03-02
British Airways,DUB,MAD,5h 10m,1 escala,110 €,2024-03-02
KLM,DUB,MAD,5h 20m,1 escala,109 €,2024-03-02
TAP AIR PORTUGAL,DUB,MAD,5h 50m,1 escala,100 €,2024-03-02
Aer Lingus,DUB,MAD,2h 35m,directo,72 €,2024-03-03
Ryanair,DUB,MAD,2h 35m,directo,53 €,2024-03-03
Aer Lingus,DUB,MAD,2h 35m,directo,72 €,2024-03-03
Ryanair,DUB,MAD,2h 35m,directo,99 €,2024-03-03
Ryanair,DUB,MAD,2h 35m,directo,132 €,2024-03-03
Iberia,DUB,MAD,2h 35m,directo,133 €,2024-03-03
Iberia,DUB,MAD,2h 35m,directo,146 €,2024-03-03
Iberia Express,DUB,MAD,2h 35m,directo,149 €,2024-03-03
Aer Lingus,DUB,MAD,2h 35m,directo,157 €,2024-03-03
Vueling,DUB,MAD,2h 35m,directo,167 €,2024-03-03
KLM,DUB,MAD,5h 20m,1 escala,99 €,2024-03-03
KLM,DUB,MAD,5h 05m,1 escala,111 €,2024-03-03
TAP AIR PORTUGAL,DUB,MAD,5h 50m,1 escala,100 €,2024-03-03
KLM,DUB,MAD,5h 10m,1 escala,111 €,2024-03-03
KLM,DUB,MAD,6h 15m,1 escala,111 €,2024-03-03
"Aer Lingus, Iberia",DUB,MAD,5h 55m,1 escala,101 €,2024-03-03
