Airline,Source,Destination,Duration,Total stops,Price,Date
Iberia,MAD,DUB,2h 45m,directo,71 €,2024-03-01
Aer Lingus,MAD,DUB,2h 40m,directo,39 €,2024-03-01
Aer Lingus,MAD,DUB,2h 45m,directo,39 €,2024-03-01
Iberia,MAD,DUB,2h 45m,directo,67 €,2024-03-01
Iberia,MAD,DUB,2h 40m,directo,67 €,2024-03-01
Aer Lingus,MAD,DUB,2h 40m,directo,126 €,2024-03-01
Iberia Express,MAD,DUB,2h 40m,directo,140 €,2024-03-01
Iberia,MAD,DUB,2h 40m,directo,145 €,2024-03-01
Vueling,MAD,DUB,2h 40m,directo,170 €,2024-03-01
TAP AIR PORTUGAL,MAD,DUB,9h 25m,1 escala,71 €,2024-03-01
TAP AIR PORTUGAL,MAD,DUB,6h 45m,1 escala,86 €,2024-03-01
Vueling,MAD,DUB,6h 15m,1 escala,99 €,2024-03-01
TAP AIR PORTUGAL,MAD,DUB,6h 25m,1 escala,101 €,2024-03-01
Lufthansa,MAD,DUB,6h 10m,1 escala,138 €,2024-03-01
Lufthansa,MAD,DUB,5h 50m,1 escala,146 €,2024-03-01
KLM,MAD,DUB,6h 40m,1 escala,125 €,2024-03-01
Iberia,MAD,DUB,2h 40m,directo,54 €,2024-03-02
Ryanair,MAD,DUB,2h 40m,directo,44 €,2024-03-02
Ryanair,MAD,DUB,2h 40m,directo,47 €,2024-03-02
Iberia Express,MAD,DUB,2h 40m,directo,48 €,2024-03-02
Iberia,MAD,DUB,2h 40m,directo,50 €,2024-03-02
Aer Lingus,MAD,DUB,2h 45m,directo,53 €,2024-03-02
Ryanair,MAD,DUB,2h 40m,directo,61 €,2024-03-02
Iberia,MAD,DUB,2h 45m,directo,67 €,2024-03-02
Aer Lingus,MAD,DUB,2h 40m,directo,99 €,2024-03-02
Vueling,MAD,DUB,2h 40m,directo,99 €,2024-03-02
TAP AIR PORTUGAL,MAD,DUB,6h 35m,1 escala,71 €,2024-03-02
TAP AIR PORTUGAL,MAD,DUB,6h 20m,1 escala,86 €,2024-03-02
Air France,MAD,DUB,5h 25m,1 escala,101 €,2024-03-02
"Iberia, British Airways",MAD,DUB,5h 00m,1 escala,112 €,2024-03-02
TAP AIR PORTUGAL,MAD,DUB,9h 15m,1 escala,71 €,2024-03-02
TAP AIR PORTUGAL,MAD,DUB,9h 20m,1 escala,71 €,2024-03-02
"Iberia, British Airways",MAD,DUB,6h 25m,1 escala,112 €,2024-03-03
Ryanair,MAD,DUB,2h 40m,directo,114 €,2024-03-03
TAP AIR PORTUGAL,MAD,DUB,23h 05m,1 escala,77 €,2024-03-03
Aer Lingus,MAD,DUB,2h 40m,directo,120 €,2024-03-03
Iberia,MAD,DUB,2h 40m,directo,145 €,2024-03-03
Ryanair,MAD,DUB,2h 40m,directo,146 €,2024-03-03
Ryanair,MAD,DUB,2h 40m,directo,178 €,2024-03-03
Iberia,MAD,DUB,2h 40m,directo,192 €,2024-03-03
Iberia Express,MAD,DUB,2h 40m,directo,194 €,2024-03-03
"Iberia Express, Aer Lingus",MAD,DUB,6h 30m,1 escala,97 €,2024-03-03
Aer Lingus,MAD,DUB,2h 40m,directo,210 €,2024-03-03
Vueling,MAD,DUB,2h 40m,directo,220 €,2024-03-03
"Iberia, British Airways",MAD,DUB,6h 25m,1 escala,112 €,2024-03-03
"Iberia, Aer Lingus",MAD,DUB,6h 30m,1 escala,103 €,2024-03-03
Vueling,MAD,DUB,6h 15m,1 escala,114 €,2024-03-03
"Iberia, Transavia France",MAD,DUB,5h 10m,1 escala,116 €,2024-03-03
Transavia France,MAD,DUB,5h 25m,1 escala,118 €,2024-03-03
