Airline,Source,Destination,Duration,Total stops,Price,Date,Date scraped
"Transavia, Vueling",DUB,IBZ,17h 10m,1 stop,€91,11/12/2023,05/12/2023
"Aer Lingus, Vueling",DUB,IBZ,6h 40m,1 stop,€304,11/12/2023,05/12/2023
"Aer Lingus, Vueling",DUB,IBZ,5h 40m,1 stop,€347,11/12/2023,05/12/2023
Multiple Airlines,DUB,IBZ,7h 35m,2 stops,€236,11/12/2023,05/12/2023
"Transavia France, Vueling",DUB,IBZ,17h 10m,1 stop,€103,11/12/2023,05/12/2023
Vueling,DUB,IBZ,22h 50m,1 stop,€92,11/12/2023,05/12/2023
"Aer Lingus, Vueling",DUB,IBZ,7h 25m,2 stops,€274,11/12/2023,05/12/2023
Iberia,DUB,IBZ,12h 30m,1 stop,€282,11/12/2023,05/12/2023
"Aer Lingus, Vueling",DUB,IBZ,18h 55m,1 stop,€140,11/12/2023,05/12/2023
"Aer Lingus, Vueling",DUB,IBZ,9h 20m,1 stop,€295,11/12/2023,05/12/2023
"Vueling, Iberia",DUB,IBZ,6h 35m,2 stops,€349,11/12/2023,05/12/2023
"British Airways, Iberia",DUB,IBZ,14h 55m,1 stop,€269,11/12/2023,05/12/2023
"Aer Lingus, British Airways",DUB,IBZ,14h 55m,1 stop,€232,11/12/2023,05/12/2023
"Aer Lingus, Vueling",DUB,IBZ,10h 05m,2 stops,€248,11/12/2023,05/12/2023
"Transavia France, Vueling",DUB,IBZ,17h 00m,2 stops,€156,11/12/2023,05/12/2023
KLM,DUB,IBZ,5h 40m,1 stop,€322,12/12/2023,05/12/2023
"Aer Lingus, Vueling",DUB,IBZ,5h 40m,1 stop,€112,12/12/2023,05/12/2023
Vueling,DUB,IBZ,18h 40m,1 stop,€74,12/12/2023,05/12/2023
Vueling,DUB,IBZ,7h 15m,1 stop,€109,12/12/2023,05/12/2023
"Aer Lingus, Vueling",DUB,IBZ,6h 40m,1 stop,€112,12/12/2023,05/12/2023
Iberia,DUB,IBZ,5h 00m,1 stop,€257,12/12/2023,05/12/2023
Vueling,DUB,IBZ,5h 00m,1 stop,€314,12/12/2023,05/12/2023
"Aer Lingus, Vueling",DUB,IBZ,9h 10m,1 stop,€132,12/12/2023,05/12/2023
KLM,DUB,IBZ,5h 40m,1 stop,€311,12/12/2023,05/12/2023
"Aer Lingus, Air Europa",DUB,IBZ,5h 45m,1 stop,€255,12/12/2023,05/12/2023
British Airways,DUB,IBZ,5h 00m,1 stop,€327,12/12/2023,05/12/2023
Iberia Express,DUB,IBZ,5h 00m,1 stop,€291,12/12/2023,05/12/2023
"Vueling, Iberia Express",DUB,IBZ,5h 00m,1 stop,€294,12/12/2023,05/12/2023
"Vueling, Iberia",DUB,IBZ,6h 35m,2 stops,€177,12/12/2023,05/12/2023
"Aer Lingus, Vueling",DUB,IBZ,14h 40m,1 stop,€125,12/12/2023,05/12/2023
British Airways,DUB,IBZ,4h 40m,1 stop,€410,12/12/2023,05/12/2023
Vueling,DUB,IBZ,6h 35m,1 stop,€46,13/12/2023,05/12/2023
Vueling,DUB,IBZ,23h 35m,1 stop,€42,13/12/2023,05/12/2023
"Aer Lingus, Vueling",DUB,IBZ,5h 40m,1 stop,€89,13/12/2023,05/12/2023
"Aer Lingus, Vueling",DUB,IBZ,6h 40m,1 stop,€81,13/12/2023,05/12/2023
Vueling,DUB,IBZ,9h 00m,1 stop,€70,13/12/2023,05/12/2023
"Aer Lingus, Vueling",DUB,IBZ,9h 05m,1 stop,€81,13/12/2023,05/12/2023
Vueling,DUB,IBZ,12h 10m,1 stop,€60,13/12/2023,05/12/2023
"Vueling, Swiftair",DUB,IBZ,8h 15m,2 stops,€120,13/12/2023,05/12/2023
"Vueling, Air Europa",DUB,IBZ,8h 15m,2 stops,€123,13/12/2023,05/12/2023
Multiple Airlines,DUB,IBZ,8h 15m,2 stops,€126,13/12/2023,05/12/2023
Iberia,DUB,IBZ,12h 25m,1 stop,€107,13/12/2023,05/12/2023
"Vueling, Air Europa",DUB,IBZ,8h 15m,2 stops,€130,13/12/2023,05/12/2023
"Vueling, Swiftair",DUB,IBZ,10h 45m,2 stops,€113,13/12/2023,05/12/2023
"Aer Lingus, Vueling",DUB,IBZ,7h 00m,2 stops,€163,13/12/2023,05/12/2023
"Vueling, Air Europa",DUB,IBZ,10h 45m,2 stops,€116,13/12/2023,05/12/2023
"Aer Lingus, Vueling",DUB,IBZ,11h 30m,1 stop,€110,13/12/2023,05/12/2023
Vueling,DUB,IBZ,6h 10m,1 stop,€72,14/12/2023,05/12/2023
Vueling,DUB,IBZ,23h 10m,1 stop,€51,14/12/2023,05/12/2023
"Aer Lingus, Vueling",DUB,IBZ,5h 05m,1 stop,€99,14/12/2023,05/12/2023
"Aer Lingus, Vueling",DUB,IBZ,5h 40m,1 stop,€93,14/12/2023,05/12/2023
"Aer Lingus, Vueling",DUB,IBZ,6h 40m,1 stop,€93,14/12/2023,05/12/2023
Vueling,DUB,IBZ,8h 35m,1 stop,€105,14/12/2023,05/12/2023
Vueling,DUB,IBZ,11h 45m,1 stop,€68,14/12/2023,05/12/2023
Iberia,DUB,IBZ,6h 10m,1 stop,€299,14/12/2023,05/12/2023
Iberia,DUB,IBZ,5h 00m,1 stop,€357,14/12/2023,05/12/2023
"Aer Lingus, Vueling",DUB,IBZ,9h 05m,1 stop,€93,14/12/2023,05/12/2023
"Iberia, Iberia Express",DUB,IBZ,5h 00m,1 stop,€318,14/12/2023,05/12/2023
British Airways,DUB,IBZ,6h 10m,1 stop,€354,14/12/2023,05/12/2023
"Aer Lingus, Vueling",DUB,IBZ,16h 30m,1 stop,€82,14/12/2023,05/12/2023
"Aer Lingus, Vueling",DUB,IBZ,14h 40m,1 stop,€89,14/12/2023,05/12/2023
Multiple Airlines,DUB,IBZ,7h 50m,2 stops,€140,14/12/2023,05/12/2023
Vueling,DUB,IBZ,6h 20m,1 stop,€98,15/12/2023,05/12/2023
