Airline,Duration,Total stops,Price,Date,Date scraped,Source_DUB,Source_IBZ,Source_MAD,Source_TFN,Destination_DUB,Destination_IBZ,Destination_MAD,Destination_TFN
"Transavia, Vueling",1030,1,91,2023-11-12,2023-05-12,1,0,0,0,0,1,0,0
"Aer Lingus, Vueling",400,1,304,2023-11-12,2023-05-12,1,0,0,0,0,1,0,0
"Aer Lingus, Vueling",340,1,347,2023-11-12,2023-05-12,1,0,0,0,0,1,0,0
Multiple Airlines,455,2,236,2023-11-12,2023-05-12,1,0,0,0,0,1,0,0
"Transavia France, Vueling",1030,1,103,2023-11-12,2023-05-12,1,0,0,0,0,1,0,0
Vueling,1370,1,92,2023-11-12,2023-05-12,1,0,0,0,0,1,0,0
"Aer Lingus, Vueling",445,2,274,2023-11-12,2023-05-12,1,0,0,0,0,1,0,0
Iberia,750,1,282,2023-11-12,2023-05-12,1,0,0,0,0,1,0,0
"Aer Lingus, Vueling",1135,1,140,2023-11-12,2023-05-12,1,0,0,0,0,1,0,0
"Aer Lingus, Vueling",560,1,295,2023-11-12,2023-05-12,1,0,0,0,0,1,0,0
"Vueling, Iberia",395,2,349,2023-11-12,2023-05-12,1,0,0,0,0,1,0,0
"British Airways, Iberia",895,1,269,2023-11-12,2023-05-12,1,0,0,0,0,1,0,0
"Aer Lingus, British Airways",895,1,232,2023-11-12,2023-05-12,1,0,0,0,0,1,0,0
"Aer Lingus, Vueling",605,2,248,2023-11-12,2023-05-12,1,0,0,0,0,1,0,0
"Transavia France, Vueling",1020,2,156,2023-11-12,2023-05-12,1,0,0,0,0,1,0,0
KLM,340,1,322,2023-12-12,2023-05-12,1,0,0,0,0,1,0,0
"Aer Lingus, Vueling",340,1,112,2023-12-12,2023-05-12,1,0,0,0,0,1,0,0
Vueling,1120,1,74,2023-12-12,2023-05-12,1,0,0,0,0,1,0,0
Vueling,435,1,109,2023-12-12,2023-05-12,1,0,0,0,0,1,0,0
"Aer Lingus, Vueling",400,1,112,2023-12-12,2023-05-12,1,0,0,0,0,1,0,0
Iberia,300,1,257,2023-12-12,2023-05-12,1,0,0,0,0,1,0,0
Vueling,300,1,314,2023-12-12,2023-05-12,1,0,0,0,0,1,0,0
"Aer Lingus, Vueling",550,1,132,2023-12-12,2023-05-12,1,0,0,0,0,1,0,0
KLM,340,1,311,2023-12-12,2023-05-12,1,0,0,0,0,1,0,0
"Aer Lingus, Air Europa",345,1,255,2023-12-12,2023-05-12,1,0,0,0,0,1,0,0
British Airways,300,1,327,2023-12-12,2023-05-12,1,0,0,0,0,1,0,0
