Airline,Source,Destination,Duration,Total stops,Price,Date,Date scraped
Vueling,DUB,IBZ,6h 20m,1 stop,€127,15/12/2023,15/12/2023
Vueling,DUB,IBZ,17h 45m,1 stop,€84,15/12/2023,15/12/2023
"Aer Lingus, Vueling",DUB,IBZ,5h 05m,1 stop,€276,15/12/2023,15/12/2023
Iberia,DUB,IBZ,12h 30m,1 stop,€140,15/12/2023,15/12/2023
Vueling,DUB,IBZ,20h 45m,1 stop,€84,15/12/2023,15/12/2023
"Transavia France, Iberia",DUB,IBZ,7h 50m,2 stops,€250,15/12/2023,15/12/2023
"Iberia, Iberia Express",DUB,IBZ,12h 30m,1 stop,€224,15/12/2023,15/12/2023
Iberia,DUB,IBZ,15h 15m,1 stop,€243,15/12/2023,15/12/2023
British Airways,DUB,IBZ,12h 20m,1 stop,€335,15/12/2023,15/12/2023
"Vueling, Iberia Express",DUB,IBZ,15h 55m,2 stops,€157,15/12/2023,15/12/2023
British Airways,DUB,IBZ,12h 15m,1 stop,€344,15/12/2023,15/12/2023
British Airways,DUB,IBZ,12h 35m,1 stop,€365,15/12/2023,15/12/2023
"Vueling, Iberia",DUB,IBZ,15h 55m,2 stops,€161,15/12/2023,15/12/2023
British Airways,DUB,IBZ,13h 15m,1 stop,€354,15/12/2023,15/12/2023
"Vueling, Air Europa",DUB,IBZ,15h 35m,2 stops,€177,15/12/2023,15/12/2023
Vueling,DUB,MAD,2h 35m,direct,€167,15/12/2023,15/12/2023
Vueling,DUB,MAD,5h 25m,1 stop,€107,15/12/2023,15/12/2023
Iberia Express,DUB,MAD,2h 35m,direct,€172,15/12/2023,15/12/2023
Iberia,DUB,MAD,2h 35m,direct,€175,15/12/2023,15/12/2023
Aer Lingus,DUB,MAD,2h 35m,direct,€188,15/12/2023,15/12/2023
Aer Lingus,DUB,MAD,2h 35m,direct,€199,15/12/2023,15/12/2023
Iberia,DUB,MAD,2h 35m,direct,€210,15/12/2023,15/12/2023
"Aer Lingus, Air Europa",DUB,MAD,6h 10m,1 stop,€131,15/12/2023,15/12/2023
KLM,DUB,MAD,5h 05m,1 stop,€388,15/12/2023,15/12/2023
Lufthansa,DUB,MAD,5h 55m,1 stop,€323,15/12/2023,15/12/2023
"Transavia France, Air Europa",DUB,MAD,6h 20m,1 stop,€250,15/12/2023,15/12/2023
"Vueling, Air Europa",DUB,MAD,6h 20m,1 stop,€262,15/12/2023,15/12/2023
"Vueling, Air Europa",DUB,MAD,5h 25m,1 stop,€316,15/12/2023,15/12/2023
"Vueling, Iberia",DUB,MAD,5h 55m,1 stop,€337,15/12/2023,15/12/2023
British Airways,DUB,MAD,4h 40m,1 stop,€822,15/12/2023,15/12/2023
"Aer Lingus, Vueling",DUB,TFN,16h 55m,1 stop,€125,15/12/2023,15/12/2023
Vueling,DUB,TFN,18h 10m,1 stop,€132,15/12/2023,15/12/2023
